id,title,enumeration_chronology,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,end_date,start_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,isbn,lccn,oclccn,url
66345,Blackness in Latin America and the Caribbean: social dynamics and cultural transformations,,,,,"Whitten, Norman E., (Norman Earl), Jr, 1937-|||Torres, Arlene.",Bloomington,Indiana University Press,1998,,,,,,,monographic,,eng,text,print,p. cm.,,,Blacks|||History|||Race relations|||Race identity|||Social change|||Functionalism (Social sciences),,Latin America|||Caribbean Area|||cl-----|||cc-----,,,,,0253334047 ‡q (v. 1 : cl : alk. paper)|||025321193X ‡q (v. 1 : pa : alk. paper)|||0253334063 ‡q (v. 2 : cl : alk. paper)|||0253211948 ‡q (v. 2 : pa : alk. paper),97044093,,
9645143,Afro-Latinos in Latin America and considerations for U.S. policy,,,Afro-Latinos in Latin America and considerations for US policy|||Afro-Latinos in Latin America and considerations for United States policy,"Seelke, Clare Ribando|||Beittel, June S.","Library of Congress, Congressional Research Service, (issuing body)",,,,2018/9999,,9999,2018,,[Library of Congress public edition].,continuing,Updated irregularly,eng,text,,1 online resource.,bibliography|||web site,,Blacks|||History|||Social conditions|||Foreign relations,,Latin America|||United States|||cl-----|||n-us---,,,,,,2019256938,,https://purl.fdlp.gov/GPO/gpo128272
9442351,Afrodescendencias: voces en resistencia : en homenaje al centenario de Nelson Mandela,,,,"Campoalegre Septien, Rosa","Campoalegre Septien, Rosa (contributor)",,,,2018,,,,,Primera edición.,monographic,,spa,text,print,"334 pages : illustrations, maps, charts ; 23 cm.",bibliography|||festschrift,,Equality|||Racism|||Intersectionality (Sociology),,Latin America|||Caribbean Area|||cl-----|||cc-----,,,,,,,,
69847,Brasil: raízes do protesto negro,,,Brasil as Raizes do protesto negro,"Moura, Clóvis.",,São Paulo-SP,Global Editora,1983,,,,,,1a. ed.,monographic,,por,text,print,173 p. ; 21 cm.,bibliography,,Blacks|||Social conditions|||Race relations,,Brazil|||s-bl---,,,,,,84106088,,
9387967,Arturo Alfonso Schomburg: su trabajo cultural en el Caribe (1892-1938),,,,"Virella Espinosa, Miguel Ángel, 1942-",,,,,2018,,,,,,monographic,,spa|||eng,text,print,169 pages : facsimiles ; 22 cm,History|||bibliography|||biography,"Study on Arturo Schomburg's cultural work in the Caribbean from 1892-1938. Arturo Alfonso Schomburg (1874-1938) was a historian, writer, and activist. He was a Puerto Rican of African and German descent. Schomburg researched and raised awareness of the contributions that Latin Americans of African descent and African Americans have made to society.","History|||Historians|||Biography|||African American historians|||Puerto Ricans|||Blacks|||Research|||Civilization|||African influences|||African diaspora|||African American book collectors|||African American librarians|||Schomburg, Arthur Alfonso 1874-1938|||Schomburg Center for Research in Black Culture",,United States|||New York (State)|||New York|||Caribbean Area|||nwpr---|||cc-----|||n-us---,,,,,9781615053506|||1615053506,,,
9245756,"Boats, borders, and bases: race, the cold war, and the rise of migration detention in the United States",,,,"Loyd, Jenna M., 1973-|||Mountz, Alison",,,,,2018,,,,2018,,monographic,,eng,text,print,"xvii, 301 pages : illustrations, maps ; 23 cm",History|||bibliography,"""Discussions on U.S. border enforcement have traditionally focused on the highly charged U.S.-Mexico boundary, inadvertently obscuring U.S.-Caribbean relations and the concerning asylum and detention policies unfolding there. Boats, Borders, and Bases offers the missing, racialized histories of the U.S. detention system and its relationship to the interception and detention of Haitian and Cuban migrants. It argues that the U.S. response to Cold War Caribbean migrations actually established the legal and institutional basis for contemporary migration and detention, and border-deterrent practices in the United States. This book promises to make a significant contribution to a truer understanding of the history and geography of the U.S. detention system overall.""--Provided by publisher.",Alien detention centers|||Detention of persons|||Illegal aliens|||Government policy|||Emigration and immigration|||Refugees|||Social conditions|||Race relations|||History,,United States|||Haiti|||Cuba|||Caribbean Area|||n-us---,,,,,9780520287969|||0520287967|||9780520287976|||0520287975,2017044582,,
71207,"historia como arma: y otros estudios sobre esclavos, ingenios y plantaciones, La",,,,"Moreno Fraginals, Manuel.",,Barcelona,Editorial Crítica,1983,,,,,,,monographic,,spa,text,print,178 p. ; 20 cm.,bibliography,,Slavery|||History|||Sugar trade|||Historiography,,Latin America|||Caribbean Area|||Cuba|||nwcu---|||cl-----|||cc-----,,,,,8474232112,,,
9363891,"Caribbean: a brief history, The",,,,"Heuman, Gad J.",,,,,2018,,,,,Third edition.,monographic,,eng,text,print,"xiv, 284 pages : illustrations, maps ; 22 cm",bibliography,,History|||Social conditions|||Politics and government|||Race relations|||Revolutions|||Slavery|||Slaves|||Emancipation|||Social classes|||Women|||Economic aspects,,Caribbean Area,,,,,9781350036925|||1350036927|||9781350036918|||1350036919,,,
9178369,"Caribbeanization of Black politics: race, group consciousness, and political participation in America, The",,,,"Wright Austin, Sharon D., 1965-",,,,,2018,,,,,,monographic,,eng,text,print,"xiv, 257 pages : illustrations ; 24 cm.",bibliography,,Caribbean Americans|||Politics and government|||Case studies|||Blacks|||Identity politics|||Political participation|||Race identity|||African Americans|||Relations with Caribbean Americans|||Immigrants|||Political activity|||Minorities,,United States|||n-us---,,,,,9781438468099|||1438468091,2017007756,,
74613,Caribbean transformations,,,,"Mintz, Sidney W. (Sidney Wilfred), 1922-2015",,Baltimore,Johns Hopkins University Press,"1984, c1974",1984/1974,,1974,1984,,Johns Hopkins paperbacks ed.,monographic,,eng,text,print,"xii, 355 p. ; 21 cm.",bibliography,,Slavery|||Peasants|||Plantations|||Politics and government,,Caribbean Area|||cc-----,,,,,0801831563 (pbk.),83019997,,
9538520,"Cofradías de indios y negros: origen, evolución y continuidades",,,,"Serrano Espinosa, Teresa Eleazar|||Jarillo Hernández, Ricardo",,,,,2018,,,,2018,Primera edición.,monographic,,spa,text,print,"357 pages : illustrations, maps ; 23 cm.",History|||bibliography,,Cofradías (Latin America)|||History|||Case studies|||Indians of Mexico|||Religion|||Blacks|||Confraternities|||Church history|||Brotherhoods,,Mexico|||Latin America|||n-mx---,,,,,9786075391960|||6075391967,2019415054,,
9636923,"common wind: Afro-American currents in the age of the Haitian Revolution, The",,,,"Scott, Julius Sherrard, III, 1955-","Rediker, Marcus (writer of foreword)",,,,2018,,,,2018,,monographic,,eng,text,print,"xix, 246 pages : map ; 25 cm",History|||bibliography,"The Common Wind is a gripping and colorful account of the intercontinental networks that tied together the free and enslaved masses of the New World. Having delved deep into the gray obscurity of official eighteenth-century records in Spanish, English, and French, Julius S. Scott has written a powerful ""history from below."" Scott follows the spread of ""rumors of emancipation"" and the people behind them, bringing to life the protagonists in the slave revolution. By tracking the colliding worlds of buccaneers, military deserters, and maroon communards from Venezuela to Virginia, Scott records the transmission of contagious mutinies and insurrections in unparalleled detail, providing readers with an intellectual history of the enslaved. Though The Common Wind is credited with having ""opened up the Black Atlantic with a rigor and a commitment to the power of written words,"" the manuscript remained unpublished for thirty-two years. Now, after receiving wide acclaim from leading historians of slavery and the New World, it has been published by Verso for the first time, with a foreword by the academic and author Marcus Rediker.""--","History|||Public opinion|||Blacks|||Communication|||Slave insurrections|||Caribbean & West Indies|||General|||POLITICAL SCIENCE|||Colonialism & Post-Colonialism|||SOCIAL SCIENCE|||Slavery|||Americas (North, Central, South, West Indies)|||15.85 history of America|||Revolution (Haiti : 1791-1804)","Revolution, 1791-1804",Haiti|||nwht---,,,,,9781788732475|||1788732472,2018032848,,
75213,"esclavos y la Virgen del Cobre: dos siglos de lucha por la libertad de Cuba, Los",,,,"Marrero, Leví.",,"Miami, Florida",Ediciones Universal,1980,,,,,,,monographic,,spa,text,print,32 p. : ill. ; 23 cm.,bibliography,,Slavery|||Copper mines and mining|||History,,Cuba|||Santiago del Prado|||Santiago del Prado (Cuba)|||nwcu---,,,,,,79056290,,
9280249,"Cultos afroamericanos y cristianismo: espiritismo, Santería, Vudú, Umbanda, Candomblé",,,,"Vázquez Borau, José Luis",,,,,2018,,,,2018,,monographic,,spa,text,print,179 pages ; 22 cm.,bibliography,,Afro-Caribbean cults|||Christianity|||African Americans|||Religion|||Blacks,,cc-----,,,,,9788494762291|||849476229X|||9788494686429|||8494686429,2018431066,,
9323672,"""De motas a rizos"": africanía y africanidad en las literaturas primordiales del Río de la Plata : la noción del negro, entre la invisibilidad, el vaciamiento y la fantasmagoría",,,,"Tejeda Quintero, Ethan Frank, 1976-",,,,,2018,,,,,Primera edición.,monographic,,spa,text,print,545 pages ; 24 cm.,"Criticism, interpretation, etc|||bibliography",,Argentine literature|||History and criticism|||Blacks in literature|||African diaspora in literature|||Blacks|||History|||African diaspora|||Civilization|||Literary movements|||Spanish American literature,,Argentina|||Río de la Plata Region (Argentina and Uruguay)|||South America|||Río de la Plata Region|||Uruguay|||s-ag---|||f------,,,,,9789587656404|||9587656407,2018431453,,
75346,"Slave populations of the British Caribbean, 1807-1834",,,,"Higman, B. W., 1943-",,Baltimore,Johns Hopkins University Press,c1984,1984,,,,,,monographic,,eng,text,print,"xxxiii, 781 p. : ill. ; 24 cm.",bibliography,,Slavery|||History,19th century,"West Indies, British|||Caribbean Area|||nw-----|||cc-----",,,,,801830362,83022203,,
9832011,Educación superior y pueblos indígenas y afrodescendientes en América Latina: políticas y experiencias de inclusión y colaboración intercultural,,,,"Mato, Daniel","Universidad Nacional de Tres de Febrero, Centro Interdisciplinario de Estudios Avanzados, (sponsoring body)|||Coloquio y Taller Internacional ""Educación Superior y Pueblos Indígenas en América Latina"" 2018 : Buenos Aires, Argentina)",,,,2018,,,,,Primera edición.,monographic,,spa|||por,text,print,491 pages : illustrations ; 24 cm,Conference papers and proceedings|||bibliography|||conference publication,,"Education, Higher|||Congresses|||Multicultural education|||Indians|||Education (Higher)|||Blacks",,Latin America|||cl-----,,,,,9874151536|||9789874151537,,,
9323649,"Encajes ético, étnico y estético: arte y literatura de negros",,,,"Almeida, Maria Cândida Ferreira de",,,,,2018,,,,,Primera edición.,monographic,,spa,text,print,"xi, 229 pages : illustrations (some color) ; 21 cm","Criticism, interpretation, etc|||bibliography",,"Art, Black|||Art, Latin American|||African influences|||Latin American literature|||Black authors|||History and criticism|||African diaspora|||Blacks",,Latin America|||cl-----,,,,,9789587741902|||9587741900,,,
76071,Voices from under: Black narrative in Latin America and the Caribbean,,,Black narrative in Latin America and the Caribbean,,"Luis, William.","Westport, Conn",Greenwood Press,1984,,,,,,,monographic,,eng,text,print,"xii, 263 p. : ill. ; 25 cm.",bibliography,,Blacks in literature|||Latin American literature|||Black authors|||History and criticism|||Caribbean literature,,cl-----|||cc-----,,,,,031323826X (lib. bdg.),83022792,,
9156284,Frontiers of citizenship: a Black and Indigenous history of postcolonial Brazil,,,,"Miki, Yuko",ProQuest (Firm),,,,2018,,,,2018,,monographic,,eng,text,,1 online resource.,bibliography,,Blacks|||History|||Indians of South America|||Government relations|||Race discrimination|||Civilization,,Brazil|||s-bl---,,,,,9781108281171|||1108281176|||9781108277778|||1108277772,,,https://ebookcentral.proquest.com/lib/pitt-ebooks/detail.action?docID=5254282
76810,"Growing in silence microform: the slave economy of nineteenth-century Minas Gerais, Brazil",,,,"Martins, Roberto Borges.",,,,1980,1981,,,,,,monographic,,eng,text,microfilm|||microform,"ix, 377 leaves : ill., maps.",bibliography,,Slavery|||Economic conditions,,Brazil|||Minas Gerais|||Minas Gerais (Brazil)|||s-bl---,,,,,,,,
9637713,Latin America in colonial times,,,,"Restall, Matthew, 1964-|||Lane, Kris E., 1967-",,,,,2018,,,,,Second edition.,monographic,,eng,text,print,"xxi, 343 pages : illustrations, maps ; 26 cm",History|||bibliography,"Few milestones in human history are as momentous as the meeting of three great civilizations on American soil in the sixteenth century. The fully revised textbook Latin America in Colonial Times presents that story in an engaging but informative new package, revealing how a new civilization and region - Latin America - emerged from that encounter. The authors give equal attention to the Spanish and Portuguese conquerors and settlers, to the African slaves they brought across the Atlantic, and to the indigenous peoples whose lands were invaded. From the dawn of empires in the fifteenth century, through the conquest age of the sixteenth and to the end of empire in the nineteenth, the book combines broad brushstrokes with anecdotal details that bring the era to life. This new edition incorporates the newest scholarship on Spain, Portugal, and Atlantic Africa, in addition to Latin America itself, with indigenous and African views and women's experiences and contributions to colonial society highlighted throughout.",Civilization|||History|||Colonization|||Acculturation|||Ethnic relations,To 1830,Latin America|||cl-----,,,,,1108416403|||9781108416405|||9781108403467|||1108403468,,,
9375243,Latinx: the new force in American politics and culture,,,,"Morales, Ed, 1956-",,,,,2018,,,,,,monographic,,eng,text,print,358 pages : illustrations ; 22 cm,bibliography,"""The Latinx revolution in US culture, society, and politics ""Latinx"" (pronounced ""La-teen-ex"") is the gender-neutral term that covers the largest racial minority in the United States, 17 percent of the country. This is the fastest-growing sector of American society, containing the most immigrants. It is the poorest ethnic group in the country, whose political empowerment is altering the balance of forces in a growing number of states. And yet, Latins barely figure in America's racial conversation--the US census does not even have a category for ""Latino."" In this groundbreaking discussion, Ed Morales explains how Latin political identities are tied to a long Latin American history of mestizaje, translatable as ""mixedness"" or ""hybridity"", and that this border thinking is both a key to understanding bilingual, bicultural Latin cultures and politics and a challenge to America's infamously black/white racial regime. This searching and long-overdue exploration of a crucial development in American life updates Cornel West's bestselling Race Matters with a Latin inflection""--",Hispanic Americans|||Politics and government|||Social conditions|||Ethnic identity|||Cultural pluralism|||Ethnic relations,21st century,United States|||n-us---,,,,,9781784783198|||1784783196|||9781784783204|||178478320X|||9781784783211|||1784783218,2018008770,,
77178,Negros de Cedro (estudo antropológico de um bairro rural de negros em Goiás),,,,"Baiocchi, Mari de Nasaré.",,São Paulo,Editora Atica,1983,,,,,,,monographic,,por,text,print,"xv, 201 p. : ill. ; 21 cm.",bibliography,,Blacks|||Social conditions|||Case studies,,"Brazil|||Cedro (Goiás)|||Goiás|||Cedro (Goiás, Brazil)|||Goiás (Brazil)|||s-bl---",,,,,,83236839,,
9387535,Más ramas que raíces: diálogos musicales entre el Caribe y el continente africano,,,,"Montes-Pizarro, Errol L.",,,,,2018,,,,,Primera edición.,monographic,,spa,text,print,"315 pages : illustrations, map ; 23 cm","Criticism, interpretation, etc|||History|||bibliography","ʺMás ramas que raíces es un aporte fundamental a los Estudios Culturales y musicales contemporáneos. Es producto de años de entusiasta y minuciosa investigación y apasionado estudio de los diálogos (ires y venires) entre al música africana y la afro-latinoamericana. Muestra contundente las limitaciones de la visión americana predominante de concebir la afro desde la metáfora de la raíz, mientras vamos descubriendo en su lectura la importancia de conocer los desarrollos musicales de ambos continentes desde otra óptica más dialógica. Es además lectura amena, que aprovechará tanto el especialista como un amplio público lector general.ʺ--Back cover.",Popular music|||History and criticism|||Popular culture|||Influence|||Blacks|||Music|||Dance|||History|||Salsa (Music)|||Music and literature,,Caribbean Area|||Africa|||cc-----|||f------,,,,,9781615052905|||1615052909,,,
9536760,"¡Negro, negra!: memorias del Primer Congreso de Afrodecendencia en Puerto Rico",,,Afirmación y resistencia,"Congreso de Afrodescendencia en Puerto Rico 2015 : San Juan, Puerto Rico),|||Nurse Allende, Lester","Afrodescendencia en Puerto Rico|||Fundación Puertorriqueña de las Humanidades (sponsoring body)|||National Endowment for the Humanities (sponsoring body)|||University of Puerto Rico (Río Piedras Campus), Facultad de Estudios Generales.",,,,2018,,,,,,monographic,,spa|||eng,text,print,417 pages : illustrations ; 22 x 23 cm.,Conference papers and proceedings|||bibliography|||conference publication,,African Americans|||Congresses|||Racism|||Race relations|||Race discrimination|||Race discrimination in literature|||Race identity|||African Americans in art|||African Americans in popular culture|||Anti-racism|||African American arts,,Puerto Rico|||Caribbean Area|||nwpr---,,,,,9781615053629|||161505362X,,,
77181,"duplo e a metamorfose: a identidade mítica em comunidades nagô, O",,,,"Augras, Monique.",,Petrópolis,Vozes,1983,,,,,,,monographic,,por,text,print,295 p. : ill. ; 21 cm.,bibliography,,Blacks|||Religion,,Brazil|||s-bl---,,,,,,83191392,,
