id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
,"adventures of Teasing Tom and Naughty Ned with a spool of Clark's O.N.T. cotton, The",,"Clark Thread Company|||Clark, George A.",,,,English,text,print,[8] p. : ill. ; 12 cm.,Juvenile poetry,,Children|||Conduct of life|||Thread|||Malicious mischief|||Birds,,"United States, New York, New York",,,,,,
,"Adventures of the beautiful little maid Cinderilla, or, The history of a glass slipper: to which is added, An historical description of the cat",,,,,,English,text,print,31 p. : ill. ; 11 cm.,Chapbooks|||Fairy tales|||Juvenile literature,,Conduct of life,,,,,,,,
,"adventures of three Englishmen and three Russians in Southern Africa, The","Verne, Jules, 1828-1905","Frith, Henry, 1840-",,,,English,text,print,176 p. ; 18 cm.,Fiction,"Three Englishmen and three Russians and their guide, a bushman named Mokoum, set out to measure the arc of the meridian in the Kalahari Desert. During the expedition war is declared between England and Russia.",Scientific expeditions|||Indigenous peoples|||Hunting stories|||Hunting,,"Africa, Southern|||Kalahari Desert|||Africa",,,,,,
,"adventures of Tom Sawyer, The","Twain, Mark, 1835-1910",,,,,English,text,print|||unmediated|||volume,"6 preliminary leaves, [17]-274, [1] pages including frontispiece, illustrations 22 cm",Fiction|||text,,,,Missouri|||Mississippi River,,,,,,
,"adventures of William Waters, and his ass Bob: with beautiful cuts, The",,,,,,English,text,print|||unmediated|||volume,"16, [1] pages : illustrations ; 11 cm",Juvenile literature|||Juvenile works|||Specimens|||text,,"Conduct of life|||Chapbooks, English",19th century,,,,,,,
,"Advice to the teens, or, Practical helps towards the formation of one's own character","Taylor, Isaac, 1759-1829","Curtis, S.",,,,English,text,print|||unmediated|||volume,"[4], vi, 194 pages, [1] leaf of plates (frontispiece) : 1 illustration (engraving) ; 17 cm",Life skills guides|||text,,Self-culture|||Teenage boys|||Conduct of life|||Youth,,Great Britain,,,,,,
,"AEsop in rhyme, or, Old friends in a new dress",,"Park, Marmaduke.",,,,English,text,print,288 p. : ill. ; 18 cm.,,,Fables,,,,,,,,
,Aesop's Fables,,,,,,English,text,print,44 p. : ill. ; 13 cm.,Juvenile literature|||Specimens,,Animals|||Chapbooks,,,,,,,,
,"Aesop's fables: a new version, chiefly from original sources",,"James, Thomas, 1809-1863|||Tenniel, John, 1820-1914",,,,English,text,print,"xx, 148 p. : ill. ; 18 cm.",,,Fables,,,,,,,,
,"Aesop's fables, complete",,"James, Thomas, 1809-1863",,,,English,text,print,"xx, 21-208 p. : ill. ; 16 cm.",,,Fables,,,,,,,,
,Æsop's fables: from the version,Aesop.,"James, Thomas, Rev., Vicar of Sibbertoft|||Aikin, Lucy, 1781-1864",,,,English,text,print|||unmediated|||volume,"30 pages, iv, 1 leaf sq. 16mo",text,,English language|||Spelling (Phonetic),,,,,,,,
,Aesop's fables: in words of one syllable,"Aikin, Lucy, 1781-1864",,,,,English,text,print|||unmediated|||volume,87 pages : illustrations ; 22 cm.,text,,Fables,,,,,,,,
,"affecting history of the children in the wood, The",,,,,,English,text,print|||unmediated|||volume,8 unnumbered pages : illustrations (woodcuts) ; 13 cm,Specimens|||text,,"Chapbooks, English|||Chapbooks",,,,,,,,
,Afternoon tea: rhymes for children,,"Sowerby, J. G. (John G.) (ill)|||Emmerson, H. H. (ill)",,,,English,text,print,64 p. : col. ill. ; 26 cm.,,,Children's poetry,,,,,,,,
,Agnes: A Franconia story,"Abbott, Jacob, 1803-1879","Wells, Jacob (illustrator)|||Minton, Christopher (engraver)|||Minton, John (engraver)|||Roberts, William, approximately 1829- (engraver)|||Orr, Nathaniel (engraver)",,,,English,text,print|||unmediated|||volume,"vi, [5], 12-224 p. : ill. ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1853|||Juvenile works|||Publishers' cloth bindings (Binding)-1853|||Relief prints|||text,,Children's stories|||Conduct of life|||Country life|||Sick children|||Blind children|||Play|||Children's accidents|||Fishing stories|||Shipbuilding,,"United States, New York, New York",,,,,,
,"agricultural and economical almanack, for the year of our Lord: calculated for the meridian of New-Haven, An",,"Middlebrook, Elijah, 1785-1859|||Society for Promoting Agriculture in the State of Connecticut",,,,English,text,print,6 v. ; 21 cm.,,,"Almanacs, American",,Connecticut,,,,,,
,"Ainslee stories, The","Campbell, Helen, 1839-1918","Champney, W. L. (ill)|||Smith, S. L. (ill)|||H.O. Houghton & Company (prt, str)",,,,English,text,print,"411 p., [8] leaves of plates : ill. ; 18 cm.",novel,,Children's stories,,"United States, Massachusetts, Cambridge|||United States, New York, New York",,,,,,
,Airy fairy Lilian,"Duchess, 1855?-1897",,,,,English,text,print|||unmediated|||volume,348 pages : 1 front plate ; 20 cm,text,,,,,,,,,,
,"alcove: containing some further account of Timboo, Mark and Fanny, The","Abbott, Jacob, 1803-1879",,,,,English,text,print|||unmediated|||volume,"160 pages including frontispiece, illustrations 18 cm.",text,,Children's stories,,,,,,,,
,Alcuin and the rise of the Christian schools,"West, Andrew Fleming, 1853-1943",,,,,English,text,print,"vii, 205 p. : ill., map ; 18 cm.",,,"Education, Medieval|||Alcuin 735-804",,,,,,,,
,"Alhambra, The","Irving, Washington, 1783-1859","Pennell, Joseph, 1857-1926|||Pennell, Elizabeth Robins, 1855-1936",,,,English,text,print,"xx, 436 p. : ill. ; 28 cm.",,,"Alhambra (Granada, Spain)",,,,,,,,
,"Ali Baba, or, The forty thieves",,,,,,English,text,print,8 p. : col. ill. (wood-engravings) ; 18 cm.,Juvenile literature|||Juvenile works|||Specimens,,"Thieves|||Folk literature, Arabic|||Chapbooks",,,,,,,,
,Alice Learmont: a fairy tale,"Craik, Dinah Maria Mulock, 1826-1887","Godwin, James, -1876",,,,English,text,print,"146 p., [2] leaves of plates : ill. ; 17 cm.",,,,,,,,,,,
,"Alice's adventures in Wonderland: and, Through the looking glass","Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914 (illustrator)|||Carroll, Lewis, 1832-1898",,,,English,text,print|||unmediated|||volume,"208 pages, 3 unnumbered leaves of plates : illustrations (some color) ; 24 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,(Fictitious character from Carroll) Alice,,"United States, Massachusetts, Boston",,,,,,
,"Alice's adventures in wonderland, and Through the looking-glass","Carroll, Lewis, 1832-1898",,,,,English,text,print|||unmediated|||volume,"2 volumes in 1(192, 224 pages) : illustrations ; 21 cm.",Fiction|||Juvenile fiction|||text,,Fantasy fiction|||(Fictitious character from Carroll) Alice,,,,,,,,
,Alice's adventures in Wonderland,"Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914 (illustrator)",,,,English,text,print|||unmediated|||volume,"192 pages, 1 unnumbered leaf of plates : illustrations ; 19 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,(Fictitious character from Carroll) Alice,,,,,,,,
,Alice's adventures in Wonderland: Through the looking-glass,"Carroll, Lewis, 1832-1898","Tenniel, John, 1820-1914",,,,English,text,print,192 p. : ill. ; 19 cm,,,Fantasy,,,,,,,,
,"All about poor little Topsy: from ""Uncle Tom's cabin""","Stowe, Harriet Beecher, 1811-1896",,,,,English,text,print|||unmediated|||volume,1 volume (unpaged) ; 15 cm,Juvenile fiction|||text,,Topsy (Fictitious character : Adamson),,,,,,,,
,"All for the best, or, The old peppermint man / by T. S. Arthur. The story without an end : from the German of Carove / by Sarah Austin ; with a preface and key to the emblems by A. Bronson Alcott","Arthur, T. S. (Timothy Shay), 1809-1885","Carové, Friedrich Wilhelm, 1789-1852|||Austin, Sarah, 1793-1867 (translator)|||Alcott, Amos Bronson, 1799-1888 (writer of preface)",,,,German|||English,text,print|||unmediated|||volume,"130, 93 pages : illustrations, plates ; 16 cm",Fiction|||Juvenile fiction|||Juvenile works|||text,,Conduct of life,,,,,,,,
,All round the clock,"Mack, Robert Ellice.","Bennett, H. M. (Harriet M.) (ill)|||Nister, Ernest. (ltg, prt)",,,,English,text,print|||unmediated|||volume,"64 pages : frontispiece, illustrations (some color) ; 24 cm",Juvenile poetry|||text,,Picture books for children|||Children|||Conduct of life|||Children's poetry,19th century,"United States, New York, New York|||Gemany, Nuremberg",,,,,,
,"""All that glitters is not gold.""","Salter, Mary J.",,,,,English,text,print,102 p. 18 cm.,,,,,,,,,,,
,"Allan Quatermain: being an account of his further adventures and discoveries in company with Sir Henry Curtis, bart., Commander John Good, R.N., and one Umslopogaas","Haggard, H. Rider (Henry Rider), 1856-1925",,,,,English,text,print|||unmediated|||volume,"4 preliminary leaves, 278, [2] pages : frontispiece (portrait) illustrations, plates ; 20 cm.",Fiction|||text,,"Quatermain, Allan (Fictitious character)|||Hunting guides|||Adventure stories, English",,Africa,,,,,,
,"almanac of twelve sports, An","Nicholson, William, 1872-1949","Kipling, Rudyard, 1865-1936|||Chandler Kipling Collection (Library of Congress)|||Elizabeth Robins Pennell Collection (Library of Congress)",,,,English,text,print,[32] p. : col. ill. ; 32 cm.,,,"Sports in art|||Nicholson, William 1872-1949",,,,,,,,
,Almanack for 1883,"Greenaway, Kate, 1846-1901","Evans, Edmund, 1826-1905 (prt, egr)",,,,English,text,print|||unmediated|||volume,[24] pages : color illustrations ; 11 cm,Juvenile literature|||Juvenile works|||text,,"Almanacs, English|||Natural history|||Months|||Seasons",,"England, London|||United States, New York, New York",,,,,,
,Alone in London,"Stretton, Hesba, 1832-1911",Religious Tract Society (Great Britain),,,,English,text,print,144 p. : ill. ; 16 cm.,Juvenile fiction,,Children|||Death|||Christian life|||Homeless children|||Orphans|||Grandfathers|||Poor|||Poverty|||Reconciliation|||Hospitals,,,,,,,,
,"Alonzo and Melissa, or, The unfeeling father: an American tale","Mitchell, I. (Isaac), approximately 1759-1812","Jackson, Daniel, 1790-1848",,,,English,text,print|||unmediated|||volume,252 pages ; 16 cm,Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Youth|||Conduct of life|||Courtship|||Friendship|||Fathers and daughters|||Brothers and sisters|||Wealth|||Social classes|||Marriage,,,,,,,,
,"alphabet, An","Nicholson, William, 1872-1949",,,,,English,text,print,"1 p.l., 26 col. pl. 44 cm.",,,English language|||Alphabet,,,,,,,,
,"alphabet of flowers, The",,,,,,English,text,print,"8 leaves, 4 p. of publisher's advertisements : col. ill. (wood engravings) ; 25 cm.",Juvenile poetry|||Pictorial works,,Flowers|||English language|||Alphabet,,,,,,,,
,"Alphabet of lessons for children, An",,"Roberts, Robert, approximately 1821- (engraver)|||American Tract Society",,,,English,text,print,"15, [1] p. : ill. ; 11 cm.",Specimens,,Sunday school literature|||Chapbooks,,United States,,,,,,
,"Amaranth, or, Ttoken of remembrance: a Christmas and New Year's gift for 1854, The","Percival, Emily",,,,,English,text,print|||unmediated|||volume,"288 pages, 7 unnumbered leaves of plates : illustrations ; 19 cm",Specimens|||text,,Gift books,,,,,,,,
,"amateur fireman, An","Otis, James, 1848-1912","Cary, William de la Montagne, 1840-1922 (ill)",,,,English,text,print|||unmediated|||volume,"v, 324 pages, [9] leaves of plates : illustrations ; 21 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Boys|||Conduct of life|||Homeless boys|||Shoe shiners|||Newspaper vendors|||Fire fighters|||Courage|||Arson|||Detective and mystery stories|||Rescues|||Heroes,,"United States, New York, New York",,,,,,
,"American boy's book of sports and games: a repository of in-and-out-door amusements for boys and youth, The",,"Orr, Nathaniel.",,,,English,text,print,600 p. : ill. ; 20 cm.,,,Sports|||Juvenile literature|||Games,,United States,,,,,,
,"American girl's book, or, Occupation for play hours, The","Leslie, Eliza, 1787-1858",,,,,English,text,print,383 p. : ill. ; 16 cm.,,,Amusements|||Handicraft,,United States,,,,,,
,"American juvenile keepsake, for 1835, The",,"Hofland, (Barbara), Mrs, 1770-1844 (ed)",,,,English,text,print,"x, 250 p., [10] leaves of plates : ill. ; 16 cm.",,,Gift books,,,,,,,,
,"American printer: a manual of topography, containing complete instructions for beginners, The","Mackellar, Thomas, 1812-1899",,,,,English,text,print,336 p. front. illus. 20 cm.,,,Printing,,,,,,,,
,American wonderland,"Bache, Richard Meade.",T.K. & P.G. Collins (Firm) (prt)|||Van Ingen & Snyder (egr),,,,English,text,print|||unmediated|||volume,"258 pages, [1] leaf of plates : illustrations ; 20 cm",Children's stories-1871|||Juvenile fiction|||novel|||text,,Indians of North America|||Children's stories,,"United States, Pennsylvania, Philadelphia",,,,,,
,"Amos Armfield, or, The leather-covered Bible","Old Humphrey, 1787-1854",,,,,English,text,print,141 p. : ill. ; 12 cm.,Juvenile fiction|||Juvenile literature|||novel,,Christian life|||Children|||Conduct of life|||Bible stories|||Storytelling|||Wealth|||Brothers and sisters|||Religious education|||Bible,,,,,,,,
,"amulet; or, Christian and literary remembrancer, The",,,,,,English,text,print,426 p. : ill. ; 15 cm.,,,Gift-books,,,,,,,,
,"amusing history of Tom Thumb, The",,,,,,English,text,print,11 p. : col. ill. ; 14 cm.,,,Children's stories,,,,,,,,
,"anchor: with sketches of the lives of Jeremiah Evarts, James Montgomery, and Gregory T. Bell, The",,"American Sunday-School Union, Committee of Publication.",,,,English,text,print,72 p. : ill. ; 15 cm.,Juvenile literature,,"Death|||Religious aspects|||Christianity|||Anchors, Sea|||Evarts, Jeremiah 1781-1831|||Montgomery, James 1787-1834|||Bedell, Gregory T. (Gregory Townsend) 1793-1834",,,,,,,,
,"Ancient customs, sports, and pastimes, of the English: explained from authentic sources, & in a familiar manner","Aspin, Jehoshaphat, active 18th century-19th century","Bentley, Samuel, 1785-1868 (prt)",,,,English,text,print,"256, [8] p., [12] leaves of plates : col. ill. ; 14 cm.",Juvenile literature|||Juvenile works|||Publishers' advertisements-1832,,Amusements|||Festivals|||Sports|||National characteristics|||Manners and customs|||Social life and customs,,"England, London|||England|||Great Britain",,,,,,
,"ancient history of Whittington and his cat, The",,"Elliott, Mary, approximately 1792-",,,,English,text,print,"36 p., [3] leaves of plates : ill. (stipple-engravings) ; 15 cm.",Juvenile literature,,"Cats|||Folklore|||Whittington, Richard d. 1423",,England,,,,,,
,"Ancient legends, mystic charms & superstitions of Ireland: with sketches of the Irish past","Wilde, Lady, 1821-1896",,,,,English,text,print,"xii, 347 p. ; 20 cm.",,,Folklore,,Ireland,,,,,,
,Andersen's fairy tales,"Andersen, H. C. (Hans Christian), 1805-1875","Williams, True (illustrator)",,,,English,text,print|||unmediated|||volume,"188 pages, [1] leaf of plates : illustrations ; 25 cm",Translations|||Translations into English|||text,,"Children's stories, Danish|||Fairy tales",,,,,,,,
,"Angus Tarlton, or, Illustrations of the fruits of the spirit","A. L. O. E., 1821-1893","Avery, Samuel Putnam, 1822-1904 (egr)",,,,English,text,print,"135, [6] p., [1] leaf of plates : ill., music ; 16 cm.",Juvenile fiction|||Pictorial cloth bindings (Binding)-1862|||Publishers' catalogues-1862|||novel,,Christian life|||Children with disabilities|||Stepfamilies|||Temper|||Brothers,,"United States, New York, New York",,,,,,
,"Animal story book, The",,"Lang, Andrew, 1844-1912",,,,English,text,print,"xiv, 400 p. : ill. ; 19 cm.",Fiction|||bibliography,,Animals,,,,,,,,
,Ann Tolleth,"Newton, John, 1725-1807","Watts, Isaac, 1674-1748|||Piggot, Robert, 1795-1887 (bookseller)|||Philadelphia Sunday and Adult School Union|||I. Ashmead & Co (printer)",,,,English,text,print,26 p. : ill. ; 10 cm.,biography,,"Sunday school literature|||Children|||Death|||Religious aspects|||Tolleth, Ann -1802",,"United States, Pennsylvania, Philadelphia",,,,,,
,Anna and her doll,"Copley, Esther.",,,,,English,text,print,"178, [2] p., [6] leaves of plates : ill., front. ; 15 cm.",Specimens,"Written in dialogue, narrative and verse.","Children's stories|||Didactic literature, English|||Advertising specialties|||Publishers' catalogs",,,,,,,,
,Anna Ross: a story for children,"Kennedy, Grace, 1782-1825",,,,,English,text,print,"156 p. : ill., col. ; 15 cm.",,,Children's literature,,,,,,,,
,Anna Ross: a story for children,"Kennedy, Grace, 1782-1825",,,,,English,text,print,"164 p. front., pl. 15 cm.",,,,,,,,,,,
,"Annals of the poor: consisting of The Dairyman's daughter, The African servant, and The Young cottager","Richmond, Legh, 1772-1827","Hawes, Joel, 1789-1867",,,,English,text,print,140 p. fronts. 16 cm.,Fiction,,Christian life,,,,,,,,
,"Annals of the poor: or, Narratives of the dairyman's daughter, the Negro servant, and the young cottager","Richmond, Legh, 1772-1827",,,,,English,text,print,"320 p. : ill., ; 16 cm.",Fiction,,Christian life,,,,,,,,
,Annals of the Redwood library and athenaeum,"Mason, George Champlin, 1820-1894",Redwood Library and Athenaeum,,,,English,text,print,528 p. illus. 23 cm.,,,Redwood Library and Athenaeum.,,,,,,,,
,"Annualette: A Christmas and New Year's gift for children, The",,,,,,English,text,print,"137 p., [3] leaves of plates : ill. ; 15 cm.",,,,,"United States, Massachusetts, Boston",,,,,,
,Another brownie book,"Cox, Palmer, 1840-1924",,,,,English,text,print,"xi, 144 p. : ill. ; 26 x 21 cm.",,,Children's poetry,,,,,,,,
,"apple pie, A","Greenaway, Kate, 1846-1901","Evans, Edmund, 1826-1905",,,,English,text,print,[22] leaves : col. illus. ; 22 x 26 cm.,,,Initial teaching alphabet|||Alphabet rhymes|||Alphabet|||Specimens|||Juvenile literature,,,,,,,,
,Apples of gold: an illustrated weekly for the youngest readers,,American Tract Society,,,,English,text,print,v. : ill. ; 22 cm.,Periodicals|||Quotations|||periodical,,Children|||Conduct of life|||Christian life|||Children's literature|||Bible,,,,,,,,
,Appleton's juvenile annual: a Christmas and New Year's gift for young people,,,,,,English,text,print,v. : ill. ; 20 cm.,Periodicals,,Children's literature|||Gift books,,,,,,,,
,"Arabian nights' entertainments, The",,"Dalziel, Thomas Bolton Gilchrist Septimus, 1823-1906 (illustrator)",,,,English,text,print|||unmediated|||volume,"xi, 796 pages, [1] leaf of plates : illustrations ; 21 cm",Folklore|||text,,Fairy tales|||Tales|||Arabs,,Arabian Peninsula|||Arab countries,,,,,,
,"Arabian nights entertainments, The","Mason, James, active 1873",,,,,English,text,print|||unmediated|||volume,"vi, 766 pages : illustrations ; 27 cm",text,,Fairy tales|||Folklore,,Arabian Peninsula,,,,,,
,Archibald and his sister,,"Methodist Episcopal Church, Sunday School Union.",,,,English,text,print|||unmediated|||volume,"60 pages, 4 unnumbered pages : 1 illustration ; 14 cm",text,,Sunday school literature,,,,,,,,
,"arithmetical table book, or, First lessons in arithmetic, The",,,,,,English,text,print|||unmediated|||volume,24 pages : illustrations ; 12 cm,Early works|||Early works to 1900|||text,,Arithmetic,,,,,,,,
,"ark of Elm Island, The","Kellogg, Elijah, 1813-1901",,,,,English,text,print|||unmediated|||volume,"288 pages, [1] leaf of plates : illustrations ; 18 cm.",text,,,,,,,,,,
,"Arthur Monteith: a moral tale, founded on an historical fact; and calculated to improve the minds of young people; being a continuation of the ""Scottish orphans""","Blackford, (Martha), Mrs, -1846",,,,,English,text,print,"v, 158, 4 p. : front. ; 18 cm.",Juvenile fiction,,Soldiers|||Brothers and sisters|||Death|||Orphans,,Scotland|||Great Britain,,,,,,
,"arts of life: I. Of providing food. II. Of providing clothing. III. Of providing shelter : described in a series of letters : for the instruction of young persons, The","Aikin, John, 1747-1822",,,,,English,text,print,216 p. ; 15 cm.,Juvenile literature,,Clothing and dress|||Food|||Industrial arts|||Life skills,,,,,,,,
,"Asbury twins, The","May, Sophie, 1833-1906|||Clarke, Rebecca Sophia, 1833-1906","Humphrey, Lizbeth Bullock, 1841- (ill)|||John Andrew & Son (egr)|||Alfred Mudge and Son (elt, prt)",,,,English,text,print|||unmediated|||volume,"374, [8] pages, [7] leaves of plates : illustrations ; 18 cm.",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Young women|||Conduct of life|||Twins|||Sisters|||Gender identity|||Timidity|||Voyages and travels|||Courtship,,"United States, Massachusetts, Boston",,,,,,
,"Asriel, or the crystal cup: a tale for the young","Henderson, Mrs",,,,,English,text,print,"144 p., 3 leaves of plates, 8 p. ; 17 cm.",Juvenile fiction,,Children|||Religious life|||Christian life,,,,,,,,
,At Aboukir and Acre: a story of Napoleon's invasion of Egypt,"Henty, G. A. (George Alfred), 1832-1902","Rainey, W. (William), 1852-1936 (illustrator)",,,,English,text,print|||unmediated|||volume,"vi, [4], 331, 32 p. : illustrations, plans, maps ; 19 cm.",Fiction|||History|||Juvenile fiction|||Juvenile literature-1898|||Juvenile works|||text,,"Second Coalition, War of the, 1798-1801|||Campaigns|||Military campaigns|||History|||I, Emperor of the French Napoleon 1769-1821|||French Occupation of Egypt (1798-1801)|||Second Coalition, War of the (1798-1801)","1798-1801|||French occupation, 1798-1801",Egypt,,,,,,
,At Agincourt: a tale of the white hoods of Paris,"Henty, G. A. (George Alfred), 1832-1902","Paget, Walter, 1863-1935 (illustrator)",,,,English,text,print|||unmediated|||volume,"vi, 356, 32 pages, [12] leaves of plates : illustrations ; 19 cm",Fiction|||History|||Juvenile fiction|||Juvenile works|||text,,"Agincourt, Battle of, Agincourt, France, 1415|||History|||Agincourt, Battle of (France : 1415)","1380-1422|||Charles VI, 1380-1422",Agincourt|||France,,,,,,
,At the back of the north wind,"Macdonald, George, 1824-1905","Hughes, Arthur, 1832-1915 (ill)",,,,English,text,print,"viii, 378 p. : ill. ; 19 cm.",,,,,,,,,,,
