id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
2000.07.011,Workers Bookstore and School Concert and Dance announcement,Workers School,,1934,1934-01-01T00:00:00,1934,,,,,flier,Announcement for a Labor Day concert and dance sponsored by the Workers School.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.012,Flaherty Brothers lecture announcement,Pittsburgh Friends of the Abraham Lincoln Brigade,,1937,1937-01-01T00:00:00,1937,,,,,flier,"Announcement promoting a lecture by the Flaherty Brothers, who returned from Spain after six months of fighting against fascism.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.013,Art Cinema program announcement,unknown,,1939,1939-01-01T00:00:00,1939,,,,,flier,"Announcement promoting the films ""Concentration Camp"" and ""If War Comes Tomorrow.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.014,Spain in Arms lecture announcement,American Society for Technical Aid to Spain,,1937,1937-01-01T00:00:00,1937,,,,,flier,Announcement for a lecture by Anna Louise Strong promoting aid to Spain.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.015,Hitler's Hatchet Man! speech transcript,Rev. Father James R. Cox,,1935/1939,1935-01-01T00:00:00,ca. 1935-1939,,,,,leaflet,"Transcript of a speech given by a Catholic priest about the persecution of Jews, delivered before the Dormont Rotary Club at Dormont's Methodist Episcopal Church.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.016,Pittsburgh Workers School announcement of courses,Pittsburgh Workers School,,1938/1940,1938-01-01T00:00:00,ca. 1938-1940,,,,,leaflet,"Promotion for the Pittsburgh Workers School featuring courses, instructors, the library, activities, social life, and an open house.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.017,History of the Struggle against Trotskyism forum advertisement,Pittsburgh Workers School,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Announcement promoting forum on struggle against Trotskyism and opportunities to clarify the problems and questions in the recent trials of Bukharin, Rakovsky, Rykov and others.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.018,Story of the Militant Labor Movement lecture series announcement,Pittsburgh Workers School,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Announcement promoting a special lecture series on the labor movement, including labor struggles, industrial unionism and American labor.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.019,Gov. James keeps his promises to the Bankers political advertisement,Pittsburgh Communist Party,,1939,1939-01-01T00:00:00,1939,,,,,leaflet,Pro-Communist political advertisement arguing against Governor James' support of bankers and the GOP's record.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.020,Peace Day rally announcement,"District Six, United Electrical Radio and Machine Workers of America (CIO)",,1936/1938,1936-01-01T00:00:00,ca. 1936-1938,,,,,flier,"Announcement promoting a Peace Day rally broadcasted on radio station KQV, featuring John A. Metcalfe.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 2",Archives Service Center,University of Pittsburgh
2000.07.021,"Boycott Bulletin, Pittsburgh Joint Boycott Council",The Pittsburgh Joint Boycott Council of the American Jewish Congress and Jewish Labor Committee,,1939,1939-01-01T00:00:00,1939,,,,,newsletter,Newsletter about boycotting merchants that handle goods made in Germany.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.022,Gas Masks in Children's Sizes leaflet,People's Congress for Democracy and Peace,,1937,1937-01-01T00:00:00,1937,,,,,leaflet,Reprint of an advertisement for gas masks in children's sizes; announcement of a mass meeting to promote democracy and peace.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.023,Welcome the Youth Congress Pilgrims Cabaret and Floor Show announcement,United Youth Organizations,,1930/1940,1930-01-01T00:00:00,ca. 1930-1940,,,,,flier,Flier promoting floor shows featuring the Evans Family and the I.W.O. Three Keys.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.024,They Shall Not Die book advertisement,Modern Bookshop,,1935,1935-01-01T00:00:00,1935,,,,,flier,"Advertisement promoting new book about civil rights, anti-war issues and an anti-lynch bill.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.025,Who is Eugene Cole? leaflet,The Cole Defense Committee,,1933/1935,1933-01-01T00:00:00,ca. 1933-1935,,,,,leaflet,"A pamphlet summarizing the story of Pittsburgh native Eugene Cole, an African-American war veteran on trial for murder.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.026,Circulation Builder newsletter,Party Builder,,1936/1938,1936-01-01T00:00:00,ca. 1936-1938,,,,,newsletter,Part of a newsletter including local Communist party recruitment drive statistics.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.027,Coughlin Hit by Father Cox as Nazi Parrot article reprint,The Pittsburgh Press,,1939,1939-01-01T00:00:00,1939,,,,,article,"Reprint of a newspaper article about Father Cox's accusation that ""radio priest"" Father Coughlin is anti-Semitic and anti-catholic.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.028,Pittsburgh Workers School Announcement of Courses,Pittsburgh Workers School,,1938,1938-01-01T00:00:00,1938,,,,,leaflet,"Flier promoting the Workers school's schedule of classes for the spring term 1938; includes class descriptions, registration information, tuition fees, methods of teaching and studying, and an application card.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.029,Election Returns Party at the Workers School announcement,Pittsburgh Workers School,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Flier promoting an election returns party, including games, dancing, a magician, food and free beer.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.030,Come to the Veterans' Mass Memorial announcement,Veterans National Rank and File Committee,,1933,1933-01-01T00:00:00,1933,,,,,flier,Advertisement promoting a memorial mass for two veterans who were murdered near the Nation's capital for insisting on justice for Veterans.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 3",Archives Service Center,University of Pittsburgh
2000.07.031,Huge Anti-Nazi Protest Meeting announcement,Anti-Nazi Federation of Pittsburgh,,1935,1935-01-01T00:00:00,1935,,,,,flier,"Flier promoting an anti-Nazi protest meeting featuring speeches by religious leaders, authors and attorneys.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.032,Special Notice: letter from City Committee Pittsburgh CP,City Committee Pittsburgh: Ben Finaley,,1934,1934-01-01T00:00:00,1934,,,,,Letter,Letter from Pittsburgh Communist Party to members to attend a May Day demonstration against Hitler.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.033,Protest Against Pilsudsky Terror and Organized Pogroms announcement,United Workers Students' Organizations,,1937/1938,1937-01-01T00:00:00,ca. 1937-1938,,,,,flier,An invitation to protest in Schenley Park against the Pilsudksy Terror and organized pogroms against Jewish students and national minorities in Poland.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.034,Who are the Conspirators?,"The Communist Party, USA",,1949,1949-01-01T00:00:00,1949,,,,,leaflet,Leaflet informing steelworkers about indictments issued to Communist National Party leaders by the U.S. Justice Department.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.035,Welcome Mother Bloor Dance announcement,Student Council Worker's School,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Flier promoting the ""Welcome Mother Bloor"" dance, benefiting the Modern Bookshop.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.036,Company Union Racket Exposed: Why A Real Union is Needed,"Amalgamated Association of Iron, Steel and Tin Workers of North America",,1937,1937-01-01T00:00:00,1937,,,,,leaflet,"Leaflet recruiting Pittsburgh steelworkers to join the Amalgamated Association of Iron, Steel and Tin Workers of North America and describing the injustices of current wages and working conditions.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.037,Mill News,Mill News Pittsburgh Office,,1936,1936-01-01T00:00:00,1936,,,,,newsletter,Newsletter appealing to mill workers about labor issues and anti-Fascism.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.038,Protest Against Hunger Parade announcement,Joint Action Committee of Unemployed Councils of Allegheny County and Members of Unemployed Citizens Leagues,,1933/1934,1933-01-01T00:00:00,ca. 1933-1934,,,,,flier,"Flier promoting a parade protesting hunger, unemployment, city health problems, and other social welfare concerns.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.039,Public Hearing on Discrimination announcement,The League of Struggle for Negro Rights,,1934,1934-01-01T00:00:00,1934,,,,,flier,"Flier announcing a public hearing to investigate ""Jim Crowism"" and discrimination, attended by Mayor McNair and featuring guest speaker I. Hawkins.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.040,Celebrate the Victories of Labor: May Day announcement,United May Day Committee,,1936/1937,1936-01-01T00:00:00,ca. 1936-1937,,,,,flier,"Flier announcing a May Day rally celebrating labor victories and demonstrating for independent political action of labor, held at West Park.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 4",Archives Service Center,University of Pittsburgh
2000.07.041,The Time Has Come For Action,Women's Action Committee for Victory and Lasting Peace,,1930/1940,1930-01-01T00:00:00,ca. 1930-1940,,,,,flier,"Flier exhorting women to join in on a ""Lasting Peace"" movement.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.042,They Shall Not Die: Mass Meeting,League of Struggle for Negro Rights,,1934/1935,1934-01-01T00:00:00,ca. 1934-1935,,,,,flier,Flier announcing a meeting to raise awareness about Scottsboro case specifically and racial discrimination generally.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.043,Pittsburgh Greets Scottsboro Boys,Pittsburgh Scottsboro Defense Committee,,1937,1937-01-01T00:00:00,1937,,,,,flier,Flier announcing the arrival of two of the freed Scottsboro Boys to Pittsburgh,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.044,Negro Liberation!: Are the Negro People a Nationality,League of Struggle for Negro Rights,,1935,1935-01-01T00:00:00,1935,,,,,flier,An invitation to a discussion and lecture regarding Civil Rights.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.045,To Women Wives and Mothers,Pittsburgh Workers School,,1933,1933-01-01T00:00:00,1933,,,,,flier,"Flier inviting women to attend a series of lectures dealing with health, children, and the community",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.046,The CIO and the White Collar Worker,Committee for Industrial Organization,,1936,1936-01-01T00:00:00,1936,,,,,leaflet,"Leaflet appealing to white-collar, technical, and professional workers to organize into the CIO.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.047,The Truth About Gone With the Wind,Young Communist League,,1939,1939-01-01T00:00:00,1939,,,,,newsletter,Newsletter detailing historical inaccuracies and glorification of Southern race relations in Gone With the Wind.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.048,Angelo Herndon Again Condemned to a Living Death,International Labor Defense,,1937/1938,1937-01-01T00:00:00,ca. 1937-1938,,,,,flier,Flier announcing a speech and protest meeting regarding the failed appeal of Civil Rights advocate Angelo Herndon,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.049,Why Every Negro Should Vote Communist,"The Communist Party, USA",,1934,1934-01-01T00:00:00,1934,,,,,leaflet,"Leaflet detailing why the Communist Party platform best fits the interests of the ""Negro and white masses.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.050,20th Century Americanism,"The Communist Party, USA",,1936/1937,1936-01-01T00:00:00,ca. 1936-1937,,,,,flier,Flier drawing parallels between a socialist society and what the Constitution intended,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 5",Archives Service Center,University of Pittsburgh
2000.07.051,Over the Top... Republican Spain Drives Fascist from Madrid,Pittsburgh Friends of the Abraham Lincoln Brigade,,1936/1938,1936-01-01T00:00:00,ca. 1936-1938,,,,,flier,Flier announcing the arrival of two Americans serving in the Spanish Civil War with the Abraham Lincoln Brigades.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.052,Lift the Embargo Against the Spanish Republic,Friends of the Abraham Lincoln Brigade,,1936/1938,1936-01-01T00:00:00,ca. 1936-1938,,,,,flier,Flier calling on the Roosevelt Administration to lift the embargo on the Spanish Republic.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.053,Where Will Hitler Strike Next?,"The Communist Party, USA",,1939,1939-01-01T00:00:00,1939,,,,,flier,Flier lambasting Neville Chamberlain's 'appeasement' strategy and calling on the United States and Soviet Union to unite against Hitler.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.054,Mercy On Wheels,North American Committee to Aid Spanish Democracy,,1936/1938,1936-01-01T00:00:00,ca. 1936-1938,,,,,flier,Flier announcing the arrival of an ambulance bullet riddled by Franco's forces in Spain,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.055,Marx Lenin Exhibit Workers School,Workers School and Pen and Hammer,,1930/1940,1930-01-01T00:00:00,ca. 1930-1940,,,,,flier,Flier announcing a three day Marx-Lenin exhibit featuring the each on their works along with accompanying lectures.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.056,A.B. Magil,Pittsburgh Workers School,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Flier announcing the arrival of A.B. Magil at the Pittsburgh Workers School, where he would speak ""The Crisis of American Democracy.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.057,Summer Term,Pittsburgh Workers School,,1938,1938-01-01T00:00:00,1938,,,,,flier,Flier detailing the courses offered at the Pittsburgh Workers School for the 1938 summer term.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.058,No Room for Hitlerism in Oakland,Pittsburgh Workers School,,1935,1935-01-01T00:00:00,1935,,,,,flier,"Flier claiming that the Pittsburgh Post-Gazette has encouraged ""rowdy"" behavior in Oakland through advocating ""reactionary and fascist groups in our community.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.059,Don't Be A Sucker For Wall Street,Communist Party of Western Pennsylvania,,1940,1940-01-01T00:00:00,1940,,,,,leaflet,"Leaflet advertising Joseph Filner's run congress, along with an appeal to avoid war fought among ""The Money Kings.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.060,Tube City News,Tube City News,,1939,1939-01-01T00:00:00,1939,,,,,flier,McKeesport flier justifying the Soviet Union's change in policy following the Non-Aggression Pact.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 6",Archives Service Center,University of Pittsburgh
2000.07.061,The Soviet-Finnish Peace,Communist Party of Western Pennsylvania,,1939,1939-01-01T00:00:00,1939,,,,,leaflet,Leaflet explaining the rationale behind the Soviet Union's invasion of Finland.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.062,20th Anniversary of the Russian Revolution,United Office and Professional Workers of America #10 (UOPWA),,1937,1937-01-01T00:00:00,1937,,,,,flier,Flier announcing a celebration on behalf of the Russian Revolution's 20th Anniversary.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.063,Commemorate Lenin,"Hill Section, Communist Party",,1935,1935-01-01T00:00:00,1935,,,,,flier,Flier announcing a memorial meeting for Lenin featuring speakers.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.064,Trotsky-Bukharin Spy Trial,The Daily Worker,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Advertisement flier for the Daily Worker, exposing readers to Stalin's spy trials.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.065,Who Are The Victims Of White Terror?,International Labor Defense,,1930/1940,1930-01-01T00:00:00,ca. 1930-1940,,,,,newsletter,"Newsletter describing the cases of Tom Mooney, Angelo Herndon, and the Scottboro Boys as victims of 'White Terror'.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.066,International Workers Order,International Workers Order,,1930/1940,1930-01-01T00:00:00,ca. 1930-1940,,,,,leaflet,Leaflet describing the mission of the International Workers Order and an invitation to join.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.067,Be Wise! Organize!,Workers Alliance of Allegheny County,,1937,1937-01-01T00:00:00,1937,,,,,flier,Flier demanding that the Roosevelt Administration stop layoffs within the Works Progress Administration.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.068,Stop Layoffs! Act Now,Workers Alliance of Allegheny County,,1937,1937-01-01T00:00:00,1937,,,,,flier,Flier demanding that the Roosevelt Administration stop layoffs within the Works Progress Administration.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.069,Call To A National Conference For Unemployment and Social Insurance,National Organizing Committee,,1934/1935,1934-01-01T00:00:00,ca. 1934-1935,,,,,newsletter,Leaflet calling on the enactment of Social Insurance along with insurance and a living wage for both the employed and unemployed.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.070,Demand Their Immediate Release,Frankfeld-Egan Liberation Committee,,1933/1934,1933-01-01T00:00:00,ca. 1933-1934,,,,,flier,Flier promoting the release of three Pittsburgh labor leaders allegedly framed by Allegheny County authorities.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 7",Archives Service Center,University of Pittsburgh
2000.07.071,Tom Mooney Defense Committee,Free Tom Mooney Molder's Defense Committee,,1933,1933-01-01T00:00:00,1933,,,,,flier,"Flier calling a conference on Tom Mooney, a framed labor leader who was doing prison time in California.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.072,Vote Communist!,Printed by sympathizer,,1934,1934-01-01T00:00:00,1934,,,,,flier,Flier briefly stating Communist Party objectives and local candidates.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.073,The Communist Estimate of the New Mayor,"The Communist Party, USA",,1933,1933-01-01T00:00:00,1933,,,,,leaflet,"Leaflet reminding readers of what Pittsburgh's Mayor, William McNair declared to do heading into office and the Communist Party's interpretation of what he has actually done.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.074,Vote Communist: Platform Statement,"The Communist Party, USA",,1934,1934-01-01T00:00:00,1934,,,,,leaflet,Leaflet analyzing the New Deal's effectiveness and describing how the Communist Party can improve local finances.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.075,The Fifth Column Strikes!,Communist Party of Western Pennsylvania,,1934,1934-01-01T00:00:00,1934,,,,,flier,Flier accusing the local District Attorney in keeping specific people off of voting ballots.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.076,Veterans Against the Imprisonment of Phil Frankfeld,Veterans National Rank and File Committee and Pittsburgh Post 182 of the Workers Ex-servicemen League,,1933/1934,1933-01-01T00:00:00,ca. 1933-1934,,,,,flier,"Flier protesting the imprisonment of Phil Frankenfeld, chair of the local Unemployment Councils.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.077,River Outing and Weiner Roast,Angelo Herndon Club,,1937,1937-01-01T00:00:00,1937,,,,,flier,Flier announcing a river outing and wiener roast.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
2000.07.078,Labor Picnic,United Workers Organizations,,1938,1938-01-01T00:00:00,1938,,,,,flier,"Flier announcing a Labor picnic featuring ""America's Outstanding Labor Leaders.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 8",Archives Service Center,University of Pittsburgh
