,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
21,9960060013406236,"Black Bear concert. Public night. Tuesday, March 15th, 1796",,,,"Black Bear Inn (Cambridge, England)",Cambridge,s.n.,1796],1796,,,,monographic,eng,text,electronic|||electronic resource|||remote,[2]p. ; 1/2⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain England Cambridge,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1310401900&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
22,9960060713406236,"All' Augusta Imperadrice Elisabetta Cristina Canzone: Dedicata all' Eccellenza del Signor Conte Cristoforo Volckra, inviato straordinario cesareo al re della Gran Britannia. Da Paolo Antonio Rolli",,,"Rolli, Paolo, 1687-1765",,In Londra,Per Giovanni Darby,l'Anno M.DCC.XVI. [1716],1716,,,,monographic,ita,text,electronic|||electronic resource|||remote,"7,[1]p. ; 4⁰.",Early works to 1800|||Songs,,"Songs, Italian",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1324800800&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
23,9960060793406236,"All in the wrong, a political new song. (To the tune of balance a straw.)",,,,,Edinburgh?,s.n.,1760?],1760,,,,monographic,eng,text,electronic|||electronic resource|||remote,"3,[1]p. ; 4⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Edinburgh,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1706700300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
24,9960063603406236,"celebrated masque of Acis and Galatea: Compos'd by Mr. Handell, for his grace the Duke of Chandois. Person, Acis, Galatea, Polyphemus, Damon, Shepherds and Shepherdesses, The",Acis and Galatea,,"Gay, John, 1685-1732",,Dublin,"Printed by J. Carson, for G. Ewing, at the Angel and Bible in Dame-street",MDCCXXXV. [1735],1735,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. ; 4⁰.,Early works to 1800|||Songs,,"Songs, English",,Ireland Dublin,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1711501200&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
25,9960063613406236,"celebrated masque of Acis and Galatea: Composed by Geo. Fredrick Handell, Esq; the words by Mr. Gay, author of the beggars-opera. As it is be performed at the Theatre in Smock-Alley, The",Acis and Galatea,,"Gay, John, 1685-1732",,Dublin,Printed for John Mitchell in Sycamore-alley,"M,CC,LXIV. [1764]",1764,,,,monographic,eng,text,electronic|||electronic resource|||remote,12p. ; 12⁰.,Early works to 1800|||Songs,,"Songs, English",,Ireland Dublin,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1721100700&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
26,9960067533406236,"deserter. A new musical drama. As it is performed at the Theatre-Royal in Drury-Lane, The",Déserteur. English. Adaptations,,"Dibdin, Charles, 1745-1814","Sedaine, 1719-1797",Dublin,"Printed by Bartholemew Corcoran, on the Inns-Quay, near the Colisters",MDCCLXXIV. [1774],1774,,,,monographic,eng,text,electronic|||electronic resource|||remote,36p. ; 12⁰.,Songs,,Operas,18th century,Ireland Dublin,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1676000300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
27,9960068453406236,"Chearful companion containing a select collection of favourite Scots and English songs, catches, &c many of which are originals",,,,,Perth,Printed for J. Gillies bookseller,MDCCLXXXIII [1783],1783,,,,monographic,eng,text,electronic|||electronic resource|||remote,"[4],318,[12]p. ; 8⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Perth,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1336400200&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
28,9960073233406236,"Wreath: A curious collection of above two hundred new songs, including those of the bottle, hunting, mirth and jollity, with all those sung by the most eminent performers, at Vauxhall, Ranelaugh, Marybon, Cuper's-gardens, and all publick places of diversion, few of which are to be found in any other collection yet published. With an alphabetical contents, for the more ready finding out each song, The",,,,,London,"Printed and sold by H. Slater, at the Circulating-Library, Clare-Court, Drury-Lane; W. Heard, at the Philobiblians Library, near St. James's Piccadilly; R. Richards, in Holborn; and J. Warcus, opposite the Mansion-House, near the Poultry",1755,,,,The fourth edition.,monographic,eng,text,electronic|||electronic resource|||remote,"[11],26-208p. ; 12⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1318301100&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
29,9960073273406236,"Haughs of cromdale: A memorable battle fought by the great Montrose, and clans, against Oliver Cromwell. The mountains high. The banks of a river. A new love song, The",,,,,Edinburgh?,s.n.],Printed in the year 1795,1795,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. : ill. ; 12⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Edinburgh,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1434201100&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
30,9960073593406236,"British grenadiers: To which are added, o the days when I was young. Invasion threatened. A new sea song. The kind are young and fair. Queen Mary's lamentation. Entered according to order, The",,,,,Glasgow,s.n.,1800?],1800,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. : ill. ; 12⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Glasgow,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1689802900&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
31,9960073683406236,"British lamentation: or, A spiritual song in hopes of deliverance: Compos'd at this present time of trouble 1746. Together with a short description of the beast, and the marks thereof. In three parts. To be sung with the tune of the Psalms, The",,,,,London?,s.n.,1746],1746,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. ; 8⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1681600300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
32,9960073763406236,British songs. Sacred to love and virtue,,,,,Edinburgh,"Printed by Hamilton, Balfour, & Neill","M,DCC,LVI. [1756]",1756,,,,monographic,eng,text,electronic|||electronic resource|||remote,"vi,121,[1]p. ; 16⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Edinburgh,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1671701000&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
33,9960073773406236,"British songster: being a select collection of favourite Scots and English songs, catches, &c, The",,,,,Glasgow,"printed for A. Tilloch, J. Duncan, Dunlop and Wilson, J. and W. Shaws, J. Gillies, J. and M. Robertson, and J. Macnair",1786,,,,,monographic,eng,text,electronic|||electronic resource|||remote,"277,[11]p. ; 8⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Glasgow,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1537400900&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
34,9960074593406236,"Ireland's glory; or, A comparative view of Ireland, in the years 1776 and 1783: To which are added. 2. Bennett's bottled ale. 3. Admiral Russell's victory. 4. Year fifty-nine",,,,,Newry,Printed by D. Carpenter,[1783?],1783,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. : ill. ; 8⁰.,Early works to 1800|||Songs,,"Songs, English",,Ireland|||Ireland Antrim Newry,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1556600700&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
35,9960075133406236,"Collection of hymns and spiritual songs. Published by John Edwards, minister of the gospel, at Leeds in Yorkshire, A",,,"Edwards, John, 1714-1785",,London,"Printed by Henry Cock, in Bloomsbuty Market, for John Edwards; and may be had at his house in Leeds",MDCCLVI. [1756],1756,,,,monographic,eng,text,electronic|||electronic resource|||remote,"xxiv,192p. ; 12⁰.",Early works to 1800|||Songs,,"Hymns, English|||Songs, English",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1533900900&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
36,9960076483406236,"History of Mr. Bragwell; or, The two wealthy farmers. Part III. To which is added, a new song on an old story","Two wealthy farmers; or, the history of Mr. Bragwell. Part III",,"More, Hannah, 1745-1833",,Dublin,"Sold by William Watson, No. 7, Capel-Street, printer to the Cheap Repository for Religious and Moral Tracts: and by the booksellers, chapmen and hawkers, in town and country",[1800?],1800,,,,monographic,eng,text,electronic|||electronic resource|||remote,24p. : ill. ; 12⁰.,Fiction|||Songs,,English fiction,18th century,Ireland Dublin,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1609400800&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
