,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
10,ais.2013.03.11,"""Social Notes""",Fred Wright,Cpl. Schaefer (contributor),1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,Soldiers evacuating a hotel during a late night fire drill are described as though they are in a fashion show.,Military,,,AIS.2013.03,,,,University of Pittsburgh
11,ais.2013.03.12,"""Button That Pocket, Soldier!""",Fred Wright,,1943,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,Military policeman complaining of boredom.,Military,,,AIS.2013.03,,,,University of Pittsburgh
12,ais.2013.03.13,"""Mess Formation""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,Examples of the different ways soldiers select their tray in the mess hall.,Military,,,AIS.2013.03,,,,University of Pittsburgh
13,ais.2013.03.14,"""Sure - We All Want to Go Home""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,Four soldiers singing at the top of the cartoon and men marching at gun point to a Nazi prison at the bottom.,"War, Military",,,AIS.2013.03,,,,University of Pittsburgh
14,ais.2013.03.15,"""Wasted Food Wasted Effort!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"22"" x 14""",Original art,Soldier dumping food into a trashcan that looks like Hitler.,Military,,,AIS.2013.03,,,,University of Pittsburgh
15,ais.2013.03.16,"""Kill or Be Killed!"" Nameplate",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 5""",Original art,American airplane shooting down a German plane.,War,,,AIS.2013.03,,,,University of Pittsburgh
16,ais.2013.03.17,"""Soldiers . . Sound Off!",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 7.5""",Original art,Three nameplates featuring soldiers.,Military,,,AIS.2013.03,,,,University of Pittsburgh
17,ais.2013.03.18,"""Take Off!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 7.25""",Original art,Nameplate featuring three mechanics and an American airplane dropping bombs on Hitler.,War,,,AIS.2013.03,,,,University of Pittsburgh
18,ais.2013.03.19a,G.I.,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6.75"" x 7.5""",Original art,"The letters ""G"" and ""I"" chasing a man,",Military,,,AIS.2013.03,,,,University of Pittsburgh
19,ais.2013.03.19b,"""There Goes My Reputation!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6.75"" x 7.5""",Original art,Soldier shot in the head while holding up a bull's-eye.,Military,,,AIS.2013.03,,,,University of Pittsburgh
20,ais.2013.03.19c,Sewing,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6.75"" x 7.5""",Original art,Private sewing his insignia onto his shirt.,Military,,,AIS.2013.03,,,,University of Pittsburgh
21,ais.2013.03.20a,"""Hobby Lobby""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"7.5"" x 7.5""",Original art,Soldier mopping the floor.,Military,,,AIS.2013.03,,,,University of Pittsburgh
22,ais.2013.03.20b,Frightened Flier,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6.25"" x 7.5""",Original art,Pilot looking back at a frightened passenger while flying over an army base.,Military,,,AIS.2013.03,,,,University of Pittsburgh
23,ais.2013.03.20c,Sergeant,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6"" x 7.5""",Original art,Sergeant pointing to a soldier who is not wearing boots.,Military,,,AIS.2013.03,,,,University of Pittsburgh
24,ais.2013.03.21,"""Learn to Fly!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 15""",Original art,Plane pulling a banner while a soldier hops up ascending insignia from private to master sergeant.,Military,,,AIS.2013.03,,,,University of Pittsburgh
25,ais.2013.03.22,Guardhouse,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"11"" x 14""",Original art,Man holding a birth certificate while speaking to a commanding officer who is pointing toward a guardhouse.,Military,,,AIS.2013.03,,,,University of Pittsburgh
26,ais.2013.03.23,Grudge,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"12.25"" x 15""",Original art,Man holding a woman's body while standing in a city's ruins and a soldier shaking his fist at Hitler and a swastika.,War,,,AIS.2013.03,,,,University of Pittsburgh
27,ais.2013.03.24a,"""Having Arrived At His Station""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 6.5""",Original art,Soldier arriving at Miami Beach by train.,Military,,,AIS.2013.03,,,,University of Pittsburgh
28,ais.2013.03.24b,"""Will Report to the Commanding Officer For Duty""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 6.5""",Original art,Private standing at attention before his commanding officer.,Military,,,AIS.2013.03,,,,University of Pittsburgh
29,ais.2013.03.24c,"""And Complete his Mission""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8.5"" x 6.5""",Original art,Soldier yelling at a sleeping private.,Military,,,AIS.2013.03,,,,University of Pittsburgh
30,ais.2013.03.24d,"""Transportation Corps Will Furnish Necessary Transportation""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8.5"" x 6.5""",Original art,Soldier carrying a bag to a truck.,Military,,,AIS.2013.03,,,,University of Pittsburgh
31,ais.2013.03.25,"""That You May Ride - Remember! Seamen Died!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"17"" x 14""",Original art,Soldier hailing a taxi cab at the top of the cartoon and a naval ship sinking at the bottom.,War,,,AIS.2013.03,,,,University of Pittsburgh
32,ais.2013.03.26,"""This Man Is Dangerous!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,"German soldier, training American soldier and an American flag planted into a swastika.","War, Military",,,AIS.2013.03,,,,University of Pittsburgh
33,ais.2013.03.27,"""The Men Behind the Bomb!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,American plane dropping bombs on a swastika.,War,,,AIS.2013.03,,,,University of Pittsburgh
34,ais.2013.03.28,"""The WAACS Are Here""",Fred Wright,,1943,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,WAAC officer saluting and four panels of their effect on the Miami base.,Military,,,AIS.2013.03,,,,University of Pittsburgh
35,ais.2013.03.29,"""Carelessness Works For the Enemy""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,Loose nut and a mechanic tightening a bolt on an airplane.,War,,,AIS.2013.03,,,,University of Pittsburgh
36,ais.2013.03.30,"""Submarine!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,American bomber flying over a German U-boat.,War,,,AIS.2013.03,,,,University of Pittsburgh
37,ais.2013.03.31,Boxing Scene,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"15"" x 20""",Original art,Soldiers watching a boxing match.,Military,,,AIS.2013.03,,,,University of Pittsburgh
38,ais.2013.03.32,"""The Suzie Q""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"22"" x 15""",Original art,B-17 Flying Fortress dropping bomb-shaped leaflets and a pilot with ground crew members.,Military,,,AIS.2013.03,,,,University of Pittsburgh
39,ais.2013.03.33a,"""Whatever Did Become of Aunt Petunia?""",Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6.75"" x 7.5""",Original art,"Sergeant standing in a pile of photographs. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
40,ais.2013.03.33b,Photographer,Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"6.75"" x 8""",Original art,"Private marching with an American flag while taking a photograph. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
41,ais.2013.03.34a,Photographs,Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 7.5""",Original art,"Man with camera taking a photograph out of a frame. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
42,ais.2013.03.34b,The Ice Man,Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 8""",Original art,"Man taking a photograph of an ice delivery man flirting with a woman. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
43,ais.2013.03.35a,"""Gas Alarm""",Basic Training Center 9 Cartoonist,,1943,1943-01-01T00:00:00,,,still image,Editorial cartoons,"7"" x 10.75""",Original art,"Sergeant wearing a gas mask and ringing a horse shoe. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
44,ais.2013.03.35b,"""WAACs Participate in Drill""",Basic Training Center 9 Cartoonist,,1943,1943-01-01T00:00:00,,,still image,Editorial cartoons,"7"" x 10.75""",Original art,"Private and WAAC wearing gas masks. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
45,ais.2013.03.36,"""Allied Papers""",Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"11"" x 14""",Original art,"Soldier being examined and signing papers. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
46,ais.2013.03.37,"""That's Our Kid Brother!""",Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"11"" x 14""",Original art,"Small staff sergeant leading the march of four large soldiers. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
47,ais.2013.03.38,"""It's Smart to be Silent!""",Basic Training Center 9 Cartoonist,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 17""",Original art,"Hitler leaning out of a Miami, Florida, building to listen to two soldiers. While the cartoonist did not sign this drawing, it is most likely the work of Fred Wright.",Military,,,AIS.2013.03,,,,University of Pittsburgh
48,ue10.1.0001a,"""Where's Nat"" Card Outside",Fred Wright,Bill Cahn (contributor),1946/1949,1946-01-01T00:00:00,,,still image,Editorial cartoons,"11.5"" x 7.5""",Original art,General Electric executive presenting an offer to the UE national officers. Card made for UE Research Department head Nat Spero.,"Contracts, Businesses",,,ue10.1,,,,University of Pittsburgh
49,ue10.1.0001b,"""Where's Nat"" Card Inside",Fred Wright,,1946/1949,1946-01-01T00:00:00,,,still image,Editorial cartoons,"11.5"" x 7.5""",Original art,Signatures of UE office staff. Card made for UE Research Department head Nat Spero.,"Contracts, Businesses",,,ue10.1,,,,University of Pittsburgh
50,ue10.1.0002a,"""Nat We Miss You"" Card Outside",Fred Wright,,1970/1979,1970-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 8.5""",Original art,Text. Card made for UE Research Department head Nat Spero.,Health &amp|||Safety,,,ue10.1,,,,University of Pittsburgh
51,ue10.1.0002b,"""Nat We Miss You"" Card Inside",Fred Wright,,1970/1979,1970-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 8.5""",Original art,Nurse delivering books to Nat Spero while he is in a hospital bed. Card made for UE Research Department head Nat Spero.,Health &amp|||Safety,,,ue10.1,,,,University of Pittsburgh
52,ue10.1.0003a,"""Getting Back To Basics"" Card Outside",Fred Wright,,1983,1983-01-01T00:00:00,,,still image,Editorial cartoons,"11"" x 8.5""",Original art,Nat Spero holding a math flashcard for his computer class. Card made for UE Research Department head Nat Spero's retirement.,Non-Labor,,,ue10.1,,,,University of Pittsburgh
53,ue10.1.0003b,"""Getting Back To Basics"" Card Inside",Fred Wright,,1983,1983-01-01T00:00:00,,,still image,Editorial cartoons,"11"" x 8.5""",Original art,Text. Card made for UE Research Department head Nat Spero's retirement.,Non-Labor,,,ue10.1,,,,University of Pittsburgh
54,ue10.1.0004a,"""To Syd &amp; Nat"" Card Outside",Fred Wright,,3/3/1983,1983-03-03T00:00:00,,,still image,Editorial cartoons,"11"" x 8.5""",Original art,"Nat Spero and his wife, Syd. Card made for UE Research Department head Nat Spero's retirement.",Non-Labor,,,ue10.1,,,,University of Pittsburgh
55,ue10.1.0004b,"""To Syd &amp; Nat"" Card Inside",Fred Wright,,3/3/1983,1983-03-03T00:00:00,,,still image,Editorial cartoons,"11"" x 8.5""",Original art,UE office staff holding a banner. Card made for UE Research Department head Nat Spero's retirement.,Non-Labor,,,ue10.1,,,,University of Pittsburgh
56,ue13.1.0001a,Medical Bill: 55% Increase in 10 Years,Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,"Doctor with ""Medicine for Profit"" syringe showing Uncle Sam a medical bill stating ""55% increase in 10 Years"". An alternate sketch of this cartoon can be found on the reverse.",Health &amp|||Safety,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
57,ue13.1.0001b,"""Medicine for Profit""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Cartoons (working drawings),"14"" x 11""",Original art,Pencil sketch of doctor representing medicine for profit spoon-feeding Uncle Sam medicine.,Health &amp|||Safety,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
58,ue13.1.0002,Bills Presented to Patient,Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,"People representing a general practitioner, specialists, drug trust, hospitals and insurance premium presenting bills to a patient.",Health &amp|||Safety,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
59,ue13.1.0003,“Operation Double Barrel”,Fred Wright,,1/29/1957,1957-01-29T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,Oil Trust bending Americans and Europeans over oil barrels.,Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
60,ue13.1.0004,“End Price Controls and There Will Be Plenty of Gas!”,Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"13"" x 11""",Original art,Gas Monopoly closing off oil pipe and demanding Uncle Sam end price controls on gas.,Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
61,ue13.1.0005a,Oil Robot with Nixon on Its Lap,Fred Wright,,1969/1974,1969-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,President Nixon sitting on a robot made of oil barrels.,Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
62,ue13.1.0005b,"""Energy Shortage""",Fred Wright,,1969/1974,1969-01-01T00:00:00,,,still image,Cartoons (working drawings),"14"" x 11""",Original art,"Pencil sketch of man holding wheat, meat and lumber with a sign stating ""Energy Shortage"".",Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
63,ue13.1.0006,"""A.M.A. Calls Free Polio Shots Step Toward Socialism . . . """,Fred Wright,,1955/1984,1955-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,News Note cartoon depicting a doctor presenting a mother with three children a bill for polio shots.,Health &amp|||Safety,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
64,ue13.1.0007a,"""Lock Step""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Political cartoons,"14"" x 12""",Original art,Large police officer representing the Taft-Hartley Law overseeing chained workers entering a steel mill.,Red Scare,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
65,ue13.1.0007b,Police Officer,Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Cartoons (working drawings),"14"" x 12""",Original art,Pencil sketch of a police officer.,Red Scare,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
66,ue13.1.0008a,"""Wish Some of That Would Trickle Down on Me!""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,"Worker watching while a politician pours ""U.S. Foreign Aid"" into a cup for another politician.",Politics and Legislation,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
67,ue13.1.0008b,Trucks with Money,Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Cartoons (working drawings),"14"" x 11""",Original art,Pencil sketch of man being shaken over a building until his money falls out of his pockets. Trucks leaving the building with the money are driving over a cliff.,Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
68,ue13.1.0009,"Monkey, Robot, Human",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 11""",Original art,A monkey is pushing a button on a robot while the robot is spoon-feeding a woman.,Automation,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
69,ue13.1.0010,"""See, If It Weren't For Me You'd Drown!""",Fred Wright,,6/17/1964,1964-06-17T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,Labor is underwater and Big Business is providing air from a tank on a boat.,Businesses,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
70,ue13.1.0011,"""Too Much Feather-Bedding""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,"Man with ""Economy Cuts"" speaking to two workers carrying a bed holding management and money on their backs.",Unemployment,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
71,ue13.1.0012,Graph Depicting Budgets and Wages,Fred Wright,,1967/1968,1967-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,"Graph comparing Bureau of Labor Statistics City Worker's Budget, Poverty Budget, and Federal Minimum Wages.",Wages,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
72,ue13.1.0013,"""Profits Outpace Minimum Wages""",Fred Wright,,1965/1967,1965-01-01T00:00:00,,,still image,Editorial cartoons,"13"" x 11""",Original art,Graph comparing the increase in company profits to the minimum wage.,Wages,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
73,ue13.1.0014,"""Bosses Say Pie Charts Don't Lie . . . """,Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,Boss eating the small section of a pie chart representing profits and getting fat.,Profits,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
74,ue13.1.0015,"""Seasons Greetings from the Officers and Staff""",Fred Wright,,1965/1966,1965-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,1965 New Years Greeting with picketers holding signs with political action issues.,Holidays,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
75,ue13.1.0016,"""Compulsory Overtime""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,Large man representing the jobless overlooking a boss telling a worker that if he doesn't work compulsory overtime he can find others who will.,Unemployment,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
76,ue13.1.0017,"""Not Too Much for Him . . . It's Inflationary!""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"28"" x 11""",Original art,Various industries taking bags of money with a boss telling the banker to not give too much to a worker.,Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
77,ue13.1.0018a,"""The Freeze/The Thaw""",Fred Wright,,1969/1974,1969-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,President Nixon putting worker in ice and using a torch to free him.,Politics and Legislation,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
78,ue13.1.0018b,"""Here Lies Bill of Rights""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Cartoons (working drawings),"14"" x 11""",Original art,Pencil sketch of man digging grave for Bill of Rights.,Politics and Legislation,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
79,ue13.1.0019,"""Welcome No Money Down""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,"Salesman placing a welcome mat stating ""No Money Down"" with the word ""Debt"" in its shadow.",Economy,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
80,ue13.1.0020,"""The Gravy Train""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"6"" x 11""",Original art,Bosses on train with bags of money.,Profits,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
81,ue13.1.0021,"""But a Little Cancer May Benefit You!""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,Tobacco Trust offering cigarettes to a non-smoker.,Health &amp|||Safety,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
82,ue13.1.0022,"""You Will Ruin the Economy with Your Unreasonable Wage Demands!""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Political cartoons,"14"" x 11""",Original art,Politician sitting atop a pile of unsold goods and price gouges scolding a family demanding a living wage.,"Wages, Economy",,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
83,ue13.1.0023,"""Wage Dent Puts Squeeze on Profits""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,News Note cartoon with a businessman atop a large bag of profits crushing a worker holding his wages.,"Wages, Profits",,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
84,ue13.1.0024,"""Bah . . . Humbug!""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,General Electric workers picketing for a wage increase outside of the window of a GE executive with piles of money.,"Wages, Businesses",,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
85,ue13.1.0025,"""In America we Do Everything in a Big Way!""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,"Two workers holding up an executive atop a bag of profits holding a ""Speed It Up!"" sign.",Profits,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
86,ue13.1.0026,"""We Are Just a Small Company""",Fred Wright,,1949/1984,1949-01-01T00:00:00,,,still image,Editorial cartoons,"8"" x 11""",Original art,Ingersoll Rand executive manipulating a puppet.,"Wages, Businesses",,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
87,ue13.1.0027,"""Looks Like Things Are Picking Up!""",Fred Wright,,1960/1973,1960-01-01T00:00:00,,,still image,Editorial cartoons,"14"" x 11""",Original art,Living costs hot air balloon pulling a worker tied to wages.,Wages,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
88,ue13.1.0028,"""President Carter's Budget Proposals""",Fred Wright,,1979/1980,1979-01-01T00:00:00,,,still image,Political cartoons,"15"" x 11""",Original art,President Carter hitting a man in the stomach with his 1980 budget.,Politics and Legislation,,,"Fred Wright Original Cartoons (Subgroup 13.1), Fred Wright Papers (UE.13)",,,,University of Pittsburgh
