,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
33,31735061539833,"a statement to the president, the congress, and the people of the united states from the american congress for peace and democracy,",,1939,,university of pittsburgh,4,122,text,archival document
34,31735061539973,"""haiti faces tomorrow's peace"", by max l. hudicourt",,,,university of pittsburgh,7,92,text,archival document
35,31735061658203,"""william z. foster, an appreciation"", by joseph north,",,1955,,university of pittsburgh,3,116,text,archival document
36,31735047451483,"coalition of labor union women resolutions approved,",,,,university of pittsburgh,,157,text,archival document
37,31735051655425,"""no more three mile islands u.s. out of el salvador"" flyer,",,1981,,university of pittsburgh,13,42,text,archival document
38,31735061659151,"""the path to peace, progress and prosperity""",,,,university of pittsburgh,4,18,text,archival document
39,31735061657148,greet the new year with the l.a. committee for protection of foreign born,,,,university of pittsburgh,2,34,text,archival document
40,31735061539478,"new aspects of imperialism (2), by peter wieden,",,1941-04,,university of pittsburgh,7,47,text,archival document
41,31735061543991,"""realignment"", one year after the party convention",,,,university of pittsburgh,10,74,text,archival document
42,31735068355142,mine-mill union; mine mill union; sindicato; union,,,1963-03,university of pittsburgh,,,text,periodicals.; periodical; periodicals
43,31735061657916,"""labor and anti- semitism"", by george morris,",,1953-05,,university of pittsburgh,3,15,text,archival document
44,31735061655811,"justice for all humanity, colored america answers the challenge of pearl s. buck",,,,university of pittsburgh,1,30,text,archival document
45,31735061658757,"""the fascist revival...the inside story of the john birch society...who is in it? who is behind it? who directs and finances it?"", by mike newberry,",,1961-06,,university of pittsburgh,3,98,text,archival document
46,31735051654980,"lc news letter vol. 2, no. 4,",,1940-04,,university of pittsburgh,14,17,text,archival document
47,31735070075258,"political action; political action (milwaukee, wis.)",,,1912-07-13,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
48,31735066228846,"""how to research your own hometown"", by robert k. lamb",,,,university of pittsburgh,7,117,text,archival document
49,31735060482860,"washington d.c. protest flyer,",,1969-11-13/1969-11-15,,university of pittsburgh,14,94,text,archival document
50,31735061544635,"""for a turn toward peace"" petition/flyer,",,1962,,university of pittsburgh,11,152,text,archival document
51,31735061544452,"""a plan for america"", official campaign handbook of the socialist party,",,1932,,university of pittsburgh,10,119,text,archival document
52,31735060482605,"""resolutions from the american negro leadership conference on africa"",",,1964-09-24/1964-09-27,,university of pittsburgh,1,19,text,archival document
53,31735068354921,"mine-mill union; sindicato; union; union (denver, colo. : 1942)",,,1952-02-11,university of pittsburgh,,,text,periodicals.; periodical; periodicals
54,31735066228622,"""think or surrender"", by george r. kirkpatrick",,,,university of pittsburgh,10,69,text,archival document
55,31735047451145,"""an important message to all westinghouse women workers"" pamphlet,",,,,university of pittsburgh,,118,text,archival document
56,31735066227863,"military ""glory"" in the colleges, by paul blanshard,",,1925-02-18,,university of pittsburgh,1,172,text,archival document
57,31735067911333,"mine-mill union; sindicato; union; union (denver, colo. : 1942)",,,1951-04-09,university of pittsburgh,,,text,periodicals.; periodical; periodicals
58,31735058193925,"alternative, v2. n3,",,1949-11,,university of pittsburgh,1,128,text,archival document
59,31735051655078,"mother earth, vol. xi no. 4,",,1916-07,,university of pittsburgh,13,31,text,archival document
60,31735058194121,"sister: new haven women's liberation newsletter v.1, n.7",,1971,,university of pittsburgh,6,23,text,archival document
61,31735061540930,"""marxism and culture no. i"", a brief bibliography of marxism and the arts, edited by louis harp",,,,university of pittsburgh,10,10,text,archival document
62,31735061655589,"""parade and demonstrate"" flyer",,,,university of pittsburgh,13,3,text,archival document
63,31735061544361,"""whoever you are...wherever you live"" flyer",,,,university of pittsburgh,11,181,text,archival document
64,31735060482969,"the negro people in the struggle for peace and freedom, by benjamin j. davis,",,1951-02,,university of pittsburgh,1,7,text,archival document
65,31735061544106,a socialist labor party envelope and ticket,,,,university of pittsburgh,10,45,text,archival document
66,31735070057207,"political action; political action (milwaukee, wis.)",,,1911-10-07,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
67,31735061656421,"""the cruise missile"", by dan smith,",,1977,,university of pittsburgh,1,158,text,archival document
68,31735051656134,"...and now laos,",,1970,,university of pittsburgh,14,90,text,archival document
69,31735061658013,"""an open letter to j. howard mcgrath"", attorney general of the united states,",,1951,,university of pittsburgh,2,99,text,archival document
70,31735065150975,mine-mill union; mine mill union; sindicato; union,,,1954-10-11,university of pittsburgh,,,text,periodicals.; periodical; periodicals
71,31735066205273,various loose memorabilia,,,,university of pittsburgh,12,70,text,archival document
72,31735061537324,"a female communist demonstrator,",,1930-03-04,,university of pittsburgh,4,139,still image,archival document
73,31735061659615,"""support the people's cause...""",,,,university of pittsburgh,3,4,text,archival document
74,31735058194238,"an open letter to president kennedy,",,1961-11-16,,university of pittsburgh,8,3,text,archival document
75,31735068355134,mine-mill union; mine mill union; sindicato; union,,,1963-04/05,university of pittsburgh,,,text,periodicals.; periodical; periodicals
76,31735061539668,"the communists and the liberation of europe, by maxine levi,",,1945-03,,university of pittsburgh,7,33,text,archival document
77,31735061537886,"little brothers of the big labor fakers, by william z. foster",,,,university of pittsburgh,6,43,text,archival document
78,31735061543710,"""value, price and profit"", by karl marx",,,,university of pittsburgh,10,83,text,archival document
79,31735061537670,"a scene in phoenix when naff was leader of movement,",,1936-04-25,,university of pittsburgh,4,164,still image,archival document
80,31735061659979,"""how can we share the wealth?"", the communist way versus huey long, by alex bittelman,",,1935-04,,university of pittsburgh,3,13,text,archival document
81,31735061543975,"""your vote can stop the war in korea now!"" pamphlet",,,,university of pittsburgh,14,49,text,archival document
82,31735060483074,the truth about columbia tennessee cases,,,,university of pittsburgh,1,3,text,archival document
83,31735061544643,"""problems of peace"" flyer",,,,university of pittsburgh,11,172,text,archival document
84,31735070075415,"political action; political action (milwaukee, wis.)",,,1912-11-02,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
85,31735058194402,"""we propose this program of peace and abundance for the people of north carolina"" pamphlet,",,1948,,university of pittsburgh,10,20,text,archival document
86,31735066228432,"why we defend the soviet union, by albert goldman",,,,university of pittsburgh,11,109,text,archival document
87,31735051654964,"people against rizzo newsletter,",,1971,,university of pittsburgh,14,34,text,archival document
88,31735066227814,"on the struggle for peace and freedom, by benjamin j. davis, jr.",,,,university of pittsburgh,1,81,text,archival document
89,31735047449024,"tipple talk: a newsletter of the coal miners research association,",,1980-12,,university of pittsburgh,37,59,text,archival document
90,31735047451467,"march on harrisburg flyer,",,,,university of pittsburgh,,155,text,archival document
91,31735061537779,"""pattern for american fascism"", by john l. spivak,",,1947-09,,university of pittsburgh,4,66,text,archival document
92,31735070072628,"political action; political action (milwaukee, wis.)",,,1911-07-22,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
93,31735051655268,"""the program of class struggle co-operation"" pamphlet,",,1931,,university of pittsburgh,13,60,text,archival document
94,31735047450261,"""what's a mugwump?"" flyer",,,,university of pittsburgh,37,9,text,archival document
95,31735061659870,"""peace or war, the people against the warmakers!"", by eugene dennis,",,1946-05,,university of pittsburgh,3,36,text,archival document
96,31735061544171,"""from reform to bayonets"", by arnold petersen,",,1947-05,,university of pittsburgh,10,50,text,archival document
97,31735061544031,"""sit-down"", by joel seidman, and ""a g.m. stockholder visits flint"", by robert morss lovett,",,1937-03,,university of pittsburgh,10,73,text,archival document
98,31735066228879,"""le front populaire c'est la guerre"",",,1937-06,,university of pittsburgh,7,69,text,archival document
99,31735070057330,"political action; political action (milwaukee, wis.)",,,1911-12-30,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
100,31735070075266,"political action; political action (milwaukee, wis.)",,,1912-07-20,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
101,31735065151056,mine-mill union; mine mill union; sindicato; union,,,1954-11-22,university of pittsburgh,,,text,periodicals.; periodical; periodicals
102,31735051655581,"women for peace letter,",,1972-04-21,,university of pittsburgh,14,84,text,archival document
103,31735061540807,"""synthesis is our only possibility"", by bob dickens",,,,university of pittsburgh,8,54,text,archival document
104,31735060482001,appeal to reason promotional letter,,,,university of pittsburgh,14,56,text,archival document
105,31735061537639,"a ""comrade"" during the arizona disorders,",,1936-04-18,,university of pittsburgh,4,163,still image,archival document
106,31735066227954,"red tape and barbed wire, by sender garlin,",,1952,,university of pittsburgh,2,28,text,archival document
107,31735060482555,anti-war protestor,,,,university of pittsburgh,12,45,text,archival document
108,31735066228572,"are there classes in america?, by ralph korkngold",,,,university of pittsburgh,10,99,text,archival document
109,31735067913164,mine-mill union; mine mill union; sindicato; union,,,1965-10,university of pittsburgh,,,text,periodicals.; periodical; periodicals
110,31735061543835,"""wages in mexican money"", by mary e. marcy",,,,university of pittsburgh,10,80,text,archival document
111,31735061659292,"""the menace of a new world war"", by william z. foster,",,1946-03,,university of pittsburgh,3,144,text,archival document
112,31735047450675,"""vets can't eat medals"" ue program of veterans",,,,university of pittsburgh,37,69,text,archival document
113,31735066249172,"new theatre,",,1936-11,,university of pittsburgh,33,2,text,archival document
114,31735061659839,"""the year of great decision, 1942"", by robert minor,",,1942-05,,university of pittsburgh,3,37,text,archival document
115,31735065150397,mine-mill union; mine mill union; sindicato; union,,,1954-02-15,university of pittsburgh,,,text,periodicals.; periodical; periodicals
116,31735061656678,"""everything for unity and victory"", by william schneiderman",,,,university of pittsburgh,4,119,text,archival document
117,31735061538348,"""women of new york, wpa cuts threaten your standard of living"" flyer",,,,university of pittsburgh,6,2,text,archival document
118,31735061540336,"""stock ownership and the control of corporations"", by don villarejo",,,,university of pittsburgh,7,104,text,archival document
119,31735066227731,"negro history week,",,1951,,university of pittsburgh,1,12,text,archival document
120,31735061544791,spu program statement,,,,university of pittsburgh,11,147,text,archival document
121,31735061659201,"""constitution of the communist political association""",,,,university of pittsburgh,4,37,text,archival document
122,31735061542498,"rustin, mcreynolds, and barton lecture flyer,",,1961-10-01,,university of pittsburgh,11,191,text,archival document
123,31735058194378,"the kodak worker, v.1, n. 8,",,1928-09,,university of pittsburgh,4,15,text,archival document
124,31735061659755,"""intellectuals and the war"", by v.j. jerome",,,,university of pittsburgh,3,39,text,archival document
125,31735061659532,"""vote for john makowski"", communist candidate for council- ward 21",,,,university of pittsburgh,3,2,text,archival document
126,31735070075092,"political action; political action (milwaukee, wis.)",,,1912-03-02,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
127,31735061658153,"""the menace of opportunism"", by max bedacht",,,,university of pittsburgh,3,111,text,archival document
128,31735061537704,"""is communism un-american?"", 9 questions about the communist party answered, by eugene dennis,",,1947-03,,university of pittsburgh,4,70,text,archival document
129,31735061543892,flyer to vote for henry steinberg,,,,university of pittsburgh,10,38,text,archival document
130,31735061659235,"""dust off your dreams"", the story of american youth for democracy",,,,university of pittsburgh,4,9,text,archival document
131,31735047450824,"""he had enough! - westinghouse iue leader returns to ue"" booklet",,,,university of pittsburgh,37,84,text,archival document
132,31735061659052,"""nazis preferred"", the renazification of western germany, by moses miller,",,1950-06,,university of pittsburgh,3,138,text,archival document
133,31735061537563,"communist rioters in cleveland, ohio,",,1930-10-03,,university of pittsburgh,4,145,still image,archival document
134,31735066228945,"anti-soviet sabotage exposed, by g.m. krzhyzhanovsky",,,,university of pittsburgh,7,5,text,archival document
135,31735060482795,"""don't hurt those children in vietnam"" protest",,,,university of pittsburgh,12,51,still image,archival document
136,31735061540302,"""basis of unity for the campus anti-imperialist coalition""",,,,university of pittsburgh,7,126,text,archival document
137,31735060483009,"in defense of negro rights, by benjamin j. davis,",,1950-01,,university of pittsburgh,1,6,text,archival document
138,31735066205307,"""tom mooney"" files",,,,university of pittsburgh,14,12,text,archival document
139,31735061538629,"""what makes latin america explosive"" flyer",,,,university of pittsburgh,11,95,text,archival document
140,31735047450386,"fannie sellins newspaper clippings,",,1989-09,,university of pittsburgh,37,28,text,archival document
141,31735070057397,"political action; political action (milwaukee, wis.)",,,1912-04-13,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
142,31735066228275,"""the chicanos"",",,1973,,university of pittsburgh,5,5,text,archival document
143,31735060482035,a call for a petition campaign and youth march,,,,university of pittsburgh,13,16,text,archival document
144,31735061658393,"""democracy in danger"", by mary collins,",,1938-09,,university of pittsburgh,3,108,text,archival document
145,31735058194022,"student peace union bulletin,",,1962-01,,university of pittsburgh,12,19,text,archival document
146,31735065150892,mine-mill union; mine mill union; sindicato; union,,,1954-08-30,university of pittsburgh,,,text,periodicals.; periodical; periodicals
147,31735065151205,mine-mill union; mine mill union; sindicato; union,,,1955-01-17,university of pittsburgh,,,text,periodicals.; periodical; periodicals
148,31735061656744,"grand march festival given by the socialists of st. paul, minn. at germania turner hall,",,1894,,university of pittsburgh,10,44,text,archival document
149,31735061544262,"army education center postcard,",,1963-12,,university of pittsburgh,11,144,text,archival document
150,31735061659904,"""religion and communism"", by earl browder,",,1935-06,,university of pittsburgh,3,19,text,archival document
151,31735061544551,"""policy statement"" from washington d.c. protest",,,,university of pittsburgh,11,154,text,archival document
152,31735061543801,a socialist party of america membership card,,,,university of pittsburgh,10,95,text,archival document
153,31735061538546,"3 worker's world party pamphlets stating ""people's needs, yes! profits and war, no!""",,,,university of pittsburgh,11,122,text,archival document
154,31735067911499,"mine-mill union; sindicato; union; union (denver, colo. : 1942)",,,1953-07-13,university of pittsburgh,,,text,periodicals.; periodical; periodicals
155,31735047451046,"""let's look at the record! your paid holidays, vacations and overtime""",,,,university of pittsburgh,,107,text,archival document
156,31735066228721,"""karl marx, the man and his work and the constructive elements of socialism"", three lectures and two essays by karl dannenberg,",,1918,,university of pittsburgh,10,42,text,archival document
157,31735061658831,"""the big tax swindle and how to stop it"", an analysis and program for action,",,1969-05,,university of pittsburgh,4,28,text,archival document
158,31735065150157,mine-mill union; mine mill union; sindicato; union,,,1960-10,university of pittsburgh,,,text,periodicals.; periodical; periodicals
159,31735068354822,"mine-mill union; sindicato; union; union (denver, colo. : 1942)",,,1952-07-14,university of pittsburgh,,,text,periodicals.; periodical; periodicals
160,31735065150330,mine-mill union; mine mill union; sindicato; union,,,1954-01-18,university of pittsburgh,,,text,periodicals.; periodical; periodicals
161,31735068354962,mine-mill union; mine mill union; sindicato; union,,,1962-10,university of pittsburgh,,,text,periodicals.; periodical; periodicals
162,31735058194436,"""a public forum for the discussion of the socialist workers party program"" leaflet,",,1960-10-15,,university of pittsburgh,11,89,text,archival document
163,31735058193966,"""the pacifist ethic and humanism"" pamphlet,",,1961,,university of pittsburgh,8,5,text,archival document
164,31735060482647,"flyer advertising a demonstration referred to as the ""mass funeral""",,,,university of pittsburgh,13,1,text,archival document
165,31735065150017,mine-mill union; mine mill union; sindicato; union,,,1960-01,university of pittsburgh,,,text,periodicals.; periodical; periodicals
166,31735061658971,"ycl pacesetter,",,1939-08,,university of pittsburgh,3,136,text,archival document
167,31735061538660,"union-smashing in sacramento, the truth about the criminal syndicalism trial, by herbert solow,",,1935-08,,university of pittsburgh,11,93,text,archival document
168,31735061544676,"""adopt arnoni's vietnam proposal!"" propaganda sheet,",,1965,,university of pittsburgh,11,151,text,archival document
169,31735066229067,"the two souls of socialism, by hal draper,",,1966,,university of pittsburgh,14,33,text,archival document
170,31735060483041,"jim crow ""justice"" in korea, the case of lieutenant leon gilbert",,,,university of pittsburgh,1,5,text,archival document
171,31735061544411,"""the abc of socialism"", by fred henderson",,,,university of pittsburgh,10,116,text,archival document
172,31735059397632,"""to secure justice in the rosenberg case"" pamphlet,",,1951,,university of pittsburgh,2,115,text,archival document
173,31735061656462,$222 billion dollars,,,,university of pittsburgh,1,159,text,archival document
174,31735070075175,"political action; political action (milwaukee, wis.)",,,1912-05-18,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
175,31735058194162,"the monroe kidnapping newsletter,",,1961-11,,university of pittsburgh,1,116,text,archival document
176,196504.1.2.002,"atlantic city convention june 20 to 27, 1928",,1928,,university of pittsburgh,,2,text,archival document
177,196504.1.2.003,atlantic city convention june 9-16-1926,,1926,,university of pittsburgh,,2,text,archival document
178,31735051655466,"""the way we see it"" pamphlet,",,1970-08-26,,university of pittsburgh,14,10,text,archival document
179,31735070075381,"political action; political action (milwaukee, wis.)",,,1912-10-12,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
180,31735061540716,"""somebody had to say 'the emperor wears no clothes'""",,,,university of pittsburgh,8,68,text,archival document
181,31735061538769,"the class mark,",,1935-11,,university of pittsburgh,13,68,text,archival document
182,31735061537928,"labor unity, what afl-cio merger means for workers, by george morris,",,1955-03,,university of pittsburgh,6,41,text,archival document
183,31735061655852,"africa fights for freedom, by alphaeus hunton,",,1950-03,,university of pittsburgh,1,31,text,archival document
184,31735066228804,"""the decline of american radicalism in the twentieth century"", by gabriel kolko",,,,university of pittsburgh,7,118,text,archival document
185,31735061537423,"exhibit of soviet literature shown before the dies committee,",,1938-08-19,,university of pittsburgh,4,130,still image,archival document
186,31735068355100,mine-mill union; mine mill union; sindicato; union,,,1963-08,university of pittsburgh,,,text,periodicals.; periodical; periodicals
187,31735047450964,"""what a good boy am i"" pamphlet",,,,university of pittsburgh,,99,text,archival document
188,31735061659375,photograph of a man observing a guarded wall of leftist leaflets,,,,university of pittsburgh,4,167,text,archival document
189,31735065150207,mine-mill union; mine mill union; sindicato; union,,,1959-11,university of pittsburgh,,,text,periodicals.; periodical; periodicals
190,31735061658906,"""students take a stand"", an account of student conferences in washington during christmas week, 1933",,,,university of pittsburgh,4,1,text,archival document
191,31735061544601,"new york regional newsletter,",,1964-02-14,,university of pittsburgh,11,173,text,archival document
192,31735061659391,"""our generation is in danger""",,,,university of pittsburgh,4,5,text,archival document
193,31735047450980,"""farmer - labor teamwork"" booklet",,,,university of pittsburgh,,101,text,archival document
194,31735061656140,"the road to negro liberation, report to the eighth convention of the communist party of the u.s.a., by harry haywood,",,1934-06,,university of pittsburgh,1,41,text,archival document
195,31735061538470,"next- a labor party!, by jack ranger,",,1948-12,,university of pittsburgh,11,123,text,archival document
196,31735051655482,"your unions your future,",,1928,,university of pittsburgh,14,62,text,archival document
197,31735070075365,"political action; political action (milwaukee, wis.)",,,1912-09-28,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
198,31735061656884,"""defend the bill of rights rally"" flyer",,,,university of pittsburgh,2,67,text,archival document
199,31735051655813,outcry from occupied berkeley,,,,university of pittsburgh,14,29,text,archival document
200,31735061538124,"halt the railroad wage cut, by william z. foster,",,1938-10,,university of pittsburgh,6,36,text,archival document
201,31735060482365,"""america of the rich, by the rich, and for the rich""",,,,university of pittsburgh,14,41,text,archival document
202,31735061539544,"the ussr and finland, historical, economic, political facts and documents,",,1939,,university of pittsburgh,7,30,text,archival document
203,31735061657213,"""a dangerous woman"", stella petrosky held for deportation, by sprad,",,1936-06,,university of pittsburgh,2,17,text,archival document
204,31735070075191,"political action; political action (milwaukee, wis.)",,,1912-06-01,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
205,31735061659656,"""mccarthyism and the new jersey elections""",,,,university of pittsburgh,3,5,text,archival document
206,31735061657429,"""is this what truman means by civil rights!""",,,,university of pittsburgh,2,25,text,archival document
207,31735047451079,"""frame-up! weapon of employers to break unions....""",,,,university of pittsburgh,,110,text,archival document
208,31735060482191,send nixon a message block traffic friday morning,,,,university of pittsburgh,14,81,text,archival document
209,31735061540997,"""what they won't tell you about jobs and prices"", the unemployment- inflation trap and the way out of it, by edward boorstein",,1980-10,,university of pittsburgh,8,61,text,archival document
210,31735061538579,"the struggle against imperialist war and the tasks of the communists, resolution of the vi world congress of the communist international july-august, 1928,",,1932-03,,university of pittsburgh,6,97,text,archival document
211,31735061658237,"""science and life"", by j.g. crowther,",,1938,,university of pittsburgh,3,113,text,archival document
212,31735047451384,"national labor conference for safe energy and full employment,",,,,university of pittsburgh,,147,text,archival document
213,31735058193982,"the irregular n. 3,",,1966-01-03,,university of pittsburgh,11,132,text,archival document
214,31735061542332,"""a call to easter 1963 student peace walk"" flyer,",,1963,,university of pittsburgh,11,187,text,archival document
215,31735051655144,a war ship can be stopped,,1971-11,,university of pittsburgh,14,87,text,archival document
216,31735061544692,"young socialist, an amateur monthly socialist magazine (2),",,,,university of pittsburgh,11,2,text,archival document
217,31735061537985,"are we aryans?, by gino bardi,",,1939-05,,university of pittsburgh,5,74,text,archival document
218,31735061537514,"front cover of the magazine communist international,",,1936-09-25,,university of pittsburgh,4,160,still image,archival document
219,31735061659243,"""constitution of the communist party of the united states of america"",",,1948-10,,university of pittsburgh,4,36,text,archival document
220,31735061540112,"la wisp (3),",,,,university of pittsburgh,14,27,text,archival document
221,31735066249131,"partisan review, vol. 1 no. 2,",,,,university of pittsburgh,25,4,text,archival document
222,31735066227772,on certain aspects of bourgeois nationalism pamphlet,,,,university of pittsburgh,1,53,text,archival document
223,31735061658377,"""appalachia u.s.a."", a study in poverty, by george meyers",,,,university of pittsburgh,3,74,text,archival document
224,31735061656108,"now is the time, by m.e. travis",,,,university of pittsburgh,1,43,text,archival document
225,31735061538439,"women, war and fascism, by dorothy mcconnell,",,1935-12,,university of pittsburgh,6,6,text,archival document
226,31735066228291,"""yiddish short stories"",",,1923,,university of pittsburgh,5,15,text,archival document
227,31735061540088,"flyer for the peace and freedom party nominee for lieutenant governor, clyde kuhn,",,1986,,university of pittsburgh,8,30,text,archival document
228,31735067913248,mine-mill union; mine mill union; sindicato; union,,,1966-07,university of pittsburgh,,,text,periodicals.; periodical; periodicals
229,31735061657569,"the menace of american imperialism, by william z. foster",,1945-10,,university of pittsburgh,2,141,text,archival document
230,31735058193958,"""the youth peace corps and the cold war"" memo,",,1961,,university of pittsburgh,8,4,text,archival document
231,31735061657353,only the people can decide,,,,university of pittsburgh,2,48,text,archival document
232,31735058194055,"mccarthyism in the courts: the story of the steve nelson frame-up pamphlet,",,1951,,university of pittsburgh,2,122,text,archival document
233,31735061544072,assorted leftist papers,,,,university of pittsburgh,10,72,text,archival document
234,31735065151015,mine-mill union; mine mill union; sindicato; union,,,1954-11-08,university of pittsburgh,,,text,periodicals.; periodical; periodicals
235,31735070075225,"political action; political action (milwaukee, wis.)",,,1912-06-22,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
236,31735047448547,"fraternal outlook, official organ of the international workers order,",,1939-05,,university of pittsburgh,5,18,text,archival document
237,31735047450451,"public employee press vol. 14 no. 2,",,1985-03,,university of pittsburgh,37,38,text,archival document
238,31735047451699,"""socialism: what is it? and how?"" flyer",,,,university of pittsburgh,38,13,text,archival document
239,31735061543876,"""tampa- tar and terror""",,,,university of pittsburgh,10,79,text,archival document
240,31735068354855,"mine-mill union; sindicato; union; union (denver, colo. : 1942)",,,1952-06-02,university of pittsburgh,,,text,periodicals.; periodical; periodicals
241,31735051655458,"lc news letter vol. 2, no. 12,",,1939-12,,university of pittsburgh,14,19,text,archival document
242,31735066228531,"little blue book, no. 1703, organizing the world for socialism, clarence senior,",,1931,,university of pittsburgh,10,100,text,archival document
243,31735061657460,"the twelve and you, what happens to democracy is your business, too!, by elizabeth gurley flynn",,,,university of pittsburgh,2,24,text,archival document
244,31735061655662,"the jobless negro, by elizabeth lawson",,,,university of pittsburgh,1,56,text,archival document
245,31735061655894,david p. widamen for congress 4th congressional district progressive party ticket campaign pamphlet,,,,university of pittsburgh,1,32,text,archival document
246,31735047451335,union town: a labor history guide to detroit,,,,university of pittsburgh,,140,text,archival document
247,31735061539254,"les conditions de la grandeur francais,",,1959-01,,university of pittsburgh,7,9,text,archival document
248,31735058193933,"alternative, v2. n6,",,1950-02,,university of pittsburgh,1,129,text,archival document
249,31735067911325,"mine-mill union; sindicato; union; union (denver, colo. : 1942)",,,1951-04-23,university of pittsburgh,,,text,periodicals.; periodical; periodicals
250,31735067913222,mine-mill union; mine mill union; sindicato; union,,,1966-09,university of pittsburgh,,,text,periodicals.; periodical; periodicals
251,31735047451152,"""ue 2nd national conference on problems of working house"" pamphlet,",,,,university of pittsburgh,,119,text,archival document
252,31735061657502,"""a guide to the club, its role in building the united front in 1950"", a handbook for community club officers, prepared by carl dorfman",,,,university of pittsburgh,4,95,text,archival document
253,31735061544445,"""no more hiroshimas...peace is our only defense"",",,1963-08-06,,university of pittsburgh,11,179,text,archival document
254,31735059397400,"spectre 4,",,1971-09/1971-10,,university of pittsburgh,6,20,text,archival document
255,31735061657809,"""history will be made at the stadium sun., sept. 24th""",,,,university of pittsburgh,2,149,text,archival document
256,31735061540179,"crisis in the middle east, ""which way israel?"", by a.b. magil,",,1956-02,,university of pittsburgh,7,98,text,archival document
