,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
15,31735047448919,"Pittburgh Fair Witness Vol. 2, No. 10,",,,1971-08/1971-09,1971-08-01T00:00:00,August-September 1971,,text,,,archival document,,,,,American Left Ephemera Collection,XII. New Left Organizations,"Box 37, Folder 162",ULS Archives Service Center,University of Pittsburgh
16,31735047448943,"Pennsylvania Labor History Society Notes Vol. 5 No. 1,",,,1982-10,1982-10-01T00:00:00,October 1982,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 54",ULS Archives Service Center,University of Pittsburgh
17,31735047448976,"""If You Have Nothing to Hide..."" Kentuckians Against KUAC,",,,1968,1968-01-01T00:00:00,1968,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 4",ULS Archives Service Center,University of Pittsburgh
18,31735047448984,"""The Rights We Fight For"",",,,1944,1944-01-01T00:00:00,1944,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 58",ULS Archives Service Center,University of Pittsburgh
19,31735047448992,American Working Class History Project Pamphlet,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,XIII. Other Radical/Leftist Organizations,"Box 37, Folder 165",ULS Archives Service Center,University of Pittsburgh
20,31735047449016,"Important Actions of UE's 13th International Convention,",,,1948,1948-01-01T00:00:00,1948,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 5",ULS Archives Service Center,University of Pittsburgh
21,31735047449024,"Tipple Talk: A Newsletter of the Coal Miners Research Association,",,,1980-12,1980-12-01T00:00:00,December 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 59",ULS Archives Service Center,University of Pittsburgh
22,31735047449057,"""An Essay on Labor History and the Quality of Paper"" Flyer,",,,1980,1980-01-01T00:00:00,ca. 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 15",ULS Archives Service Center,University of Pittsburgh
23,31735047449065,"Tri-State Conference on Steel Counter Annual Report,",,,1980/1981,1980-01-01T00:00:00,ca. 1980-1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 60",ULS Archives Service Center,University of Pittsburgh
24,31735047449099,"Brown Lung Association Letter,",,,1980,1980-01-01T00:00:00,ca. 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 18",ULS Archives Service Center,University of Pittsburgh
25,31735047449107,"""Your Dues"" United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW) Booklet,",,,1968,1968-01-01T00:00:00,1968,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 64",ULS Archives Service Center,University of Pittsburgh
26,31735047449115,"""The Politcal Economy of Youth"" by John and Margaret Rowntree,",,,1968,1968-01-01T00:00:00,ca. 1968,,text,,,archival document,,,,,American Left Ephemera Collection,XIX. Students for a Democratic Society (SDS),"Box 38, Folder 6",ULS Archives Service Center,University of Pittsburgh
27,31735047449131,"CIO Political Action Committee ""What is PAC?"" Flyer,",,,1948,1948-01-01T00:00:00,ca. 1948,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 20",ULS Archives Service Center,University of Pittsburgh
28,31735047449149,"""The People Must Act to Heal America's Wounds"" Pamphet,",,,,,"December 2, 1963",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 66",ULS Archives Service Center,University of Pittsburgh
29,31735047449156,"""Rising Textbook Prices, Rising Capitalist Profits"" Flyer,",,,2012/2015,2012-01-01T00:00:00,ca. 2012-2015,,text,,,archival document,,,,,American Left Ephemera Collection,XXIV. Twenty-First Century Radical Movements,"Box 38, Folder 7",ULS Archives Service Center,University of Pittsburgh
30,31735047449172,"The CIO: What it is and what it does,",,,1949,1949-01-01T00:00:00,1949,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 22",ULS Archives Service Center,University of Pittsburgh
31,31735047449180,"""Chug-Chug: A Children's Story for the Whole Feamily"" UE Booklet,",,,1947-09,1947-09-01T00:00:00,September 1947,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 86",ULS Archives Service Center,University of Pittsburgh
32,31735047449214,"Coal Field Defender Vol. 3 No. 4,",,,1980-08,1980-08-01T00:00:00,August 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 23",ULS Archives Service Center,University of Pittsburgh
33,31735047449222,"""Men's Business Too-""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 116",ULS Archives Service Center,University of Pittsburgh
34,31735047449255,"""Closed Plants: Diaster for Working People and Their Communities"" Pamphlet,",,,1980,1980-01-01T00:00:00,ca. 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 25",ULS Archives Service Center,University of Pittsburgh
35,31735047449297,"""Celebrating the Life of Fannie Sellins A Labor Heroine"" Booklet,",,,1989,1989-01-01T00:00:00,1989,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 27",ULS Archives Service Center,University of Pittsburgh
36,31735047449339,"""How the American Maritime Workers are Being Forced to Strike,""",,,1946,1946-01-01T00:00:00,1946,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 29",ULS Archives Service Center,University of Pittsburgh
37,31735047449347,"""Join us!"" Worker's Education Local 189,",,,1979,1979-01-01T00:00:00,ca. 1979,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 139",ULS Archives Service Center,University of Pittsburgh
38,31735047449370,"Public Hearing Flyer,",,,1981-05,1981-05-01T00:00:00,May 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 30",ULS Archives Service Center,University of Pittsburgh
39,31735047449388,"""United Steelworkers of America 1397 Rank and File, Local Issues"",",,,1980,1980-01-01T00:00:00,1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 141",ULS Archives Service Center,University of Pittsburgh
40,31735047449412,"White Collar No. 413,",,,,,April-May-June 1984,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 35",ULS Archives Service Center,University of Pittsburgh
41,31735047449420,"Harrisburg Anti-Nuclear Demonstration Letter,",,,,,"October 17, 1980",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 145",ULS Archives Service Center,University of Pittsburgh
42,31735047449453,"Wayne State University Twenty-First Annual North American Labor History Conference Program,",,,1999-10,1999-10-01T00:00:00,October 1999,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 40",ULS Archives Service Center,University of Pittsburgh
43,31735047449461,"City Times Vol. 1, No. 6,",,,1982-03,1982-03-01T00:00:00,March 1982,,text,,,archival document,,,,,American Left Ephemera Collection,XII. New Left Organizations,"Box 37, Folder 160",ULS Archives Service Center,University of Pittsburgh
44,31735047450238,"Union Book Club Flyer,",,,,,ca. 1940s-1950s,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 6",ULS Archives Service Center,University of Pittsburgh
45,31735047450246,"""Their Offense: Fighting For The People!"" Flyer,",,,1951,1951-01-01T00:00:00,1951,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 7",ULS Archives Service Center,University of Pittsburgh
46,31735047450253,"""One Step Leads to Another..."" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 8",ULS Archives Service Center,University of Pittsburgh
47,31735047450261,"""What's a Mugwump?"" Flyer",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 9",ULS Archives Service Center,University of Pittsburgh
48,31735047450279,"""A Law to Gag and Control the American People"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 10",ULS Archives Service Center,University of Pittsburgh
49,31735047450287,UE Flyers,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 11",ULS Archives Service Center,University of Pittsburgh
50,31735047450295,"""Here's How it Works - From Official United States Government Documents"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 12",ULS Archives Service Center,University of Pittsburgh
51,31735047450303,"""Why Politicians Red-Bait"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 13",ULS Archives Service Center,University of Pittsburgh
52,31735047450311,"""What Are They Really After?"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,VI. Communists and Civil Liberties,"Box 37, Folder 14",ULS Archives Service Center,University of Pittsburgh
53,31735047450329,Association for Union Democracy Mailing,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 16",ULS Archives Service Center,University of Pittsburgh
54,31735047450337,"Association for Union Democracy Literature Order Form,",,,1981,1981-01-01T00:00:00,1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 17",ULS Archives Service Center,University of Pittsburgh
55,31735047450345,"""The Brown Lung Association: Fighting For the Right to Breathe"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 19",ULS Archives Service Center,University of Pittsburgh
56,31735047450352,"""What's Cooking Joe?"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 21",ULS Archives Service Center,University of Pittsburgh
57,31735047450360,"Coal Field Defender Vol. 3 No. 5,",,,1980-08,1980-08-01T00:00:00,August 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 24",ULS Archives Service Center,University of Pittsburgh
58,31735047450378,Summary of Major Plant Closing Legislation Now Pending,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 26",ULS Archives Service Center,University of Pittsburgh
59,31735047450386,"Fannie Sellins Newspaper Clippings,",,,1989-09,1989-09-01T00:00:00,September 1989,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 28",ULS Archives Service Center,University of Pittsburgh
60,31735047450394,"Labor Committee for Safe Energy and Full Employment Letter,",,,1981-06,1981-06-01T00:00:00,June 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 31",ULS Archives Service Center,University of Pittsburgh
61,31735047450402,"Citizen/Labor Energy Coalition Natural Gas Price Decontrol Fact Sheet,",,,1981-03,1981-03-01T00:00:00,March 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 32",ULS Archives Service Center,University of Pittsburgh
62,31735047450410,"Rally for Safe Jobs and Clean Air Pamphlets,",,,1981-05,1981-05-01T00:00:00,May 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 33",ULS Archives Service Center,University of Pittsburgh
63,31735047450428,Clean Air Flyers,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 34",ULS Archives Service Center,University of Pittsburgh
64,31735047450436,"AFL-CIO News Vol. 29 No. 47,",,,1984-11,1984-11-01T00:00:00,November 1984,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 36",ULS Archives Service Center,University of Pittsburgh
65,31735047450444,"AFL-CIO News Vol. 30 No. 20,",,,1985-05,1985-05-01T00:00:00,May 1985,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 37",ULS Archives Service Center,University of Pittsburgh
66,31735047450451,"Public Employee Press Vol. 14 No. 2,",,,1985-03,1985-03-01T00:00:00,March 1985,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 38",ULS Archives Service Center,University of Pittsburgh
67,31735047450469,"Local 2599 Informer Vol. 5 No. 3,",,,1981-03,1981-03-01T00:00:00,March 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 39",ULS Archives Service Center,University of Pittsburgh
68,31735047450477,"""Celebrate Labor Day!"" Flyer,",,,1981-09,1981-09-01T00:00:00,September 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 41",ULS Archives Service Center,University of Pittsburgh
69,31735047450485,National Labor Law Center Mailing,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 42",ULS Archives Service Center,University of Pittsburgh
70,31735047450493,"Pennsylvania State University Department of Labor Studies Mailing,",,,1986-10,1986-10-01T00:00:00,October 1986,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 43",ULS Archives Service Center,University of Pittsburgh
71,31735047450501,Western Pennsylvania Committee for Wroker Health and Safety Letter,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 44",ULS Archives Service Center,University of Pittsburgh
72,31735047450519,"""A Call to an Area-Wide Trade Union Conference on Shutdowns and Layoffs"",",,,1980-11,1980-11-01T00:00:00,November 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 45",ULS Archives Service Center,University of Pittsburgh
73,31735047450527,"Conference on Shutdowns Flyer,",,,1980-11,1980-11-01T00:00:00,November 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 46",ULS Archives Service Center,University of Pittsburgh
74,31735047450535,Philco Company Boycott Flyer,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 47",ULS Archives Service Center,University of Pittsburgh
75,31735047450543,"""Eastern Machinists on Strike"" Flyer",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 48",ULS Archives Service Center,University of Pittsburgh
76,31735047450550,"Rail Labor Rally March on Washington Flyer,",,,1981-04,1981-04-01T00:00:00,April 1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 49",ULS Archives Service Center,University of Pittsburgh
77,31735047450568,AFL-CIO Organizing Institute Booklet,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 50",ULS Archives Service Center,University of Pittsburgh
78,31735047450576,"Americans for a Democratic Party Even Today Booklet,",,,2001-01,2001-01-01T00:00:00,January 2001,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 51",ULS Archives Service Center,University of Pittsburgh
79,31735047450584,Pennsylvania Labor History Society Notes Vol. 8 No. 1,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 55",ULS Archives Service Center,University of Pittsburgh
80,31735047450592,"Pennsylvania Labor History Society Confernece Minutes,",,,,,"September 26, 1986",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 56",ULS Archives Service Center,University of Pittsburgh
81,31735047450600,"Pennsylvania Labor History Society Supporter Letter,",,,,,"March 10, 1987",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 57",ULS Archives Service Center,University of Pittsburgh
82,31735047450618,"Tri-State Conference on Steel Directions,",,,,,"June 15, 1981",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 61",ULS Archives Service Center,University of Pittsburgh
83,31735047450626,"Committee to Re-elect Paul Lewis Flyers,",,,1981,1981-01-01T00:00:00,1981,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 62",ULS Archives Service Center,University of Pittsburgh
84,31735047450634,"""Demonstrate - U.S. Steel Stockholder's Meeting""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 63",ULS Archives Service Center,University of Pittsburgh
85,31735047450642,FE-UE Flyer,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 65",ULS Archives Service Center,University of Pittsburgh
86,31735047450659,"""The People Voted for Action""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 67",ULS Archives Service Center,University of Pittsburgh
87,31735047450667,"""Monday is Now the Night to Hear...UE on the Air With Arthur Gaeth""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 68",ULS Archives Service Center,University of Pittsburgh
88,31735047450675,"""Vets Can't Eat Medals"" UE Program of Veterans",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 69",ULS Archives Service Center,University of Pittsburgh
89,31735047450683,"""Let's Come Out Fighting"" by Henry A. Wallace,",,,,,"September 22, 1947",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 70",ULS Archives Service Center,University of Pittsburgh
90,31735047450691,"""Your Vote Decides"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 71",ULS Archives Service Center,University of Pittsburgh
91,31735047450709,"""What Do You Read?"",",,,1948-07,1948-07-01T00:00:00,July 1948,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 72",ULS Archives Service Center,University of Pittsburgh
92,31735047450717,"""Organizing for Security"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 73",ULS Archives Service Center,University of Pittsburgh
93,31735047450725,"""Barry Goldwater...How he Voted on Vital Issues During his Eleven Years in the Senate..."" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 74",ULS Archives Service Center,University of Pittsburgh
94,31735047450733,"""Mill Town by Bill Cahn: A Book You Will Never Forget!"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 75",ULS Archives Service Center,University of Pittsburgh
95,31735047450741,UE Catalogue of Publications and Publicity Services,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 76",ULS Archives Service Center,University of Pittsburgh
96,31735047450758,"""Fighting Back with P.A.C.""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 77",ULS Archives Service Center,University of Pittsburgh
97,31735047450774,"""People in Action!"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 79",ULS Archives Service Center,University of Pittsburgh
98,31735047450782,UE Roosevelt Memorial Broadcast,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 80",ULS Archives Service Center,University of Pittsburgh
99,31735047450790,"""UE-CIO Looks at FDR"" Booklet,",,,1944-07,1944-07-01T00:00:00,July 1944,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 81",ULS Archives Service Center,University of Pittsburgh
100,31735047450808,"""UE Acts Against Raiding and Dictatorship in the CIO!"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 82",ULS Archives Service Center,University of Pittsburgh
101,31735047450816,"""Sing!"" UE Seventh Convention Songbook",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 83",ULS Archives Service Center,University of Pittsburgh
102,31735047450824,"""He Had Enough! - Westinghouse IUE Leader Returns to UE"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 84",ULS Archives Service Center,University of Pittsburgh
103,31735047450832,"""Could you call THIS 'a great union'?""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 85",ULS Archives Service Center,University of Pittsburgh
104,31735047450840,"""UE: The Union With a Difference You Can Feel!""",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 87",ULS Archives Service Center,University of Pittsburgh
105,31735047450857,"UE Constitution and By-Laws,",,,,,"December 1, 1949",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 88",ULS Archives Service Center,University of Pittsburgh
106,31735047450865,UE Shop Steward Guide,,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 89",ULS Archives Service Center,University of Pittsburgh
107,31735047450873,"""Don't Buy!"" Pamphet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 90",ULS Archives Service Center,University of Pittsburgh
108,31735047450881,"""Keep America at Work!"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 91",ULS Archives Service Center,University of Pittsburgh
109,31735047450899,"""Defeat Anti-Labor Politicians in '54"" Politcal Action Drive Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 92",ULS Archives Service Center,University of Pittsburgh
110,31735047450907,"""The Old Shell Game"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 93",ULS Archives Service Center,University of Pittsburgh
111,31735047450915,"""Workers Need a Wage Increase"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 94",ULS Archives Service Center,University of Pittsburgh
112,31735047450923,"""Speed-Up!"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 95",ULS Archives Service Center,University of Pittsburgh
113,31735047450931,"""Workers Prefer UE"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 96",ULS Archives Service Center,University of Pittsburgh
114,31735047450949,"""Side by Side..."" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 97",ULS Archives Service Center,University of Pittsburgh
115,31735047450956,"""Teamwork Among the Unions of the World"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,,ULS Archives Service Center,University of Pittsburgh
116,31735047450964,"""What a Good Boy Am I"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 99",ULS Archives Service Center,University of Pittsburgh
117,31735047450972,"""Why Restore the Wagner Act?"" Pamphlet,",,,,,"December 13, 1948",,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 100",ULS Archives Service Center,University of Pittsburgh
118,31735047450980,"""Farmer - Labor Teamwork"" Booklet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 101",ULS Archives Service Center,University of Pittsburgh
119,31735047450998,"""Profits Up, Prices Up"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 102",ULS Archives Service Center,University of Pittsburgh
120,31735047451004,"""How UE Can Help You Win a More Secure Future!"" Pamphlet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 103",ULS Archives Service Center,University of Pittsburgh
121,31735047451012,"""You and Your New Job"" Pamplet",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 104",ULS Archives Service Center,University of Pittsburgh
122,31735047451020,"""Your Stake in a UE Harvester Victory"" Pamphlet,",,,,,,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"File-cabinet 98, Folder 105",ULS Archives Service Center,University of Pittsburgh
