id,title,uniform_title,alternative_title,enumeration_chronology,creator,contributor,associated_name,publication_place,publisher,publication_date,start_date,end_date,encoded_date,creation_date,display_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,isbn,issn,lccn,oclcn,url
995873973406236,Études sur le vodou,,,,,"Montilus, Robert.",,Cuernavaca,Centro Intercultural de Documentación,,,,,,,,,monographic,,French,text,print,161 p. 23 cm.,bibliography,,Vodou,,,,,,,,75238272,,
995874333406236,Religion and politics in Haiti: two essays,,,,"Courlander, Harold, 1908-1996","Bastien, Rémy.",,Washington,Institute for Cross-Cultural Research,,,,1966,,,,,monographic,,English,text,print,"xvi, 81 p. illus. (part col.) maps (on lining papers) ports. 24 cm.",bibliography,,Vodou|||Religion and state|||Religion,,Haiti,,,,,,66026633 //r87,,
995877733406236,"vodou haïtien: rite radas--canzo, Le",,,,"Maximilien, Louis.",,,"Port-au-Prince, Haïti",Imprimerie de l'état,,,,1945,,,,,monographic,,French,text,print,"3 p. l., ix-xxviii, 224 p., 2 l. plates, port., facsim. 21 cm.",bibliography,,Vodou|||Folklore,,Haiti,,,,,,a 46005511,,
995879033406236,"tradition voudoo et le voudoo ha""itien: son temple, ses mystères, sa magie, La",,,,"Rigaud, Milo, 1904-1981",,,Paris,Niclaus,,,,,,,,,monographic,,French,text,print,"433 p. illus., port., map. 23 cm.",,,Vodou|||Folklore,,Haiti,,,,,,53033161,,
995880443406236,"Folklore ceremony of Petro rite, voodoo cult",,,,"Aubourg, Michel.|||Viaud, Leonce",,"Viaud, Leonce (joint author)","Port-au Prince, Haiti",Impr. du Commerce,,1940,1949,1940/1949,,,,,monographic,,French|||English,text,print,8 p. ; 18 cm.,,,Vodou|||Folklore|||Religion,,Haiti,,,,,,75300117,,
995882163406236,Lucumí: religión de los yorubas en Cuba,,,,"Canet, Carlos, 1924-",,,Miami [Fla,Editorial A.I.P.],,,,,,,,Ed. limitada.,monographic,,English,text,print,187 p. illus. 22 cm.,bibliography,,Santeria,,,,,,,,73222533,,
995882423406236,Sobrevivências daomeanas nos grupos-de-culto afronordestinos,,,,"Valente, Waldemar.",,,Recife,"Instituto Joaquim Nabuco de Pesquisas Sociais, Ministério da Educação e Cultura",,,,,,,,,monographic,,Portuguese,text,print,46 p. illus. 24cm.,bibliography,,Sects|||Blacks|||Religion,,Brazil,,,,,,67039709,,
995883583406236,Yemaya y Ochún,,,,"Cabrera, Lydia.",,,Madrid,[s.n.],,,,,,,,1. ed.,monographic,,Spanish,text,print,359 p. ; 21 cm.,bibliography,,Blacks|||Religion,,Cuba,,,,8440071531,,75546652,,
995885133406236,Survivances dahoméenes dans les groupes-de-culte africains du nord-est du Brésil,,,,"Valente, Waldemar.",,,Dakar,,,,,,,,,,monographic,,French|||Portuguese,text,print,36 p. 28 cm.,,,Vodou|||Fon (African people) in Brazil|||Blacks|||Religion,,"Brazil, Northeast|||Brazil",,,,,,,,
995886143406236,"crise de possession dans le vaudou: essais de psychiatrie comparée, La",,,,"Mars, Louis.",,,"Port au Prince, Haiti",Impr. de l'État,,,,,,,,,monographic,,French,text,print,"xiv, 103 p. 20 cm.",bibliography,,Vodou|||Demoniac possession,,,,,,,,48014428,,
995887903406236,Vodú y magia en Santo Domingo,,,,"Deive, Carlos Esteban, 1935-",,,Santo Domingo],Museo del Hombre Dominicano,,,,1975,,,,1. ed.,monographic,,Spanish,text,print,427 p. : ill. ; 23 cm.,bibliography,,Vodou|||Magic,,Dominican Republic,,,,,,76454403,,
995888803406236,Candomblés da Bahia. Ilustrações Carybé e Kantor,,,,"Carneiro, Edison.",,,Rio de Janeiro,Edições de Ouro,,,,1967,,,,,monographic,,Portuguese,text,print,"191 p. illus., plans, port. 16 cm.",bibliography,,Umbanda (Cult)|||Blacks,,Salvador|||Brazil,,,,,,67099324,,
995896083406236,Strange altars,,,,"Bach, Marcus, 1901-1995",,,Indianapolis,Bobbs-Merrill,,,,1952,,,,[1st. ed.],monographic,,English,text,print,254 p. illus. 23 cm.,,,"Vodou|||Folklore|||Reser, Stanley",,Haiti,,,,,,52010690 /L/r53,,
995897263406236,Cultos afroamericanos (vudú y hechicería en las Américas),,,,,,,Caracas,Universidad Católica Andrés Bello,,,,,,,,,monographic,,Spanish,text,print,344 p. : 19 cm.,bibliography,,Blacks|||Religion|||Cults|||Religions|||African influences,,Caribbean Area; Caribbean Sea|||South America|||Caribbean Area|||Africa,,,,,,78102634 //r85,,
995908893406236,"bailes y el teatro de los negros en el folklore de Cuba, Los",,,,"Ortiz, Fernando, 1881-1969",,,"Ciudad de La Habana, Cuba|||New York, NY",Editorial Letras Cubanas|||Distribuido por Ediciones Vitral,,,,,,,,2a ed.,monographic,,Spanish,text,print,602 p. : ill. ; 24 cm.,bibliography,,Blacks|||Music|||Folk music|||History and criticism|||Folk dance music|||Theater|||History,,Cuba,,,,,,83102553 /MN,,
9957508583406236,"población afroperuana y los derechos humanos: diagnóstico sobre el Plan nacional de derechos humanos en localidades con presencia afroperuana, La",,,,,Centro de Desarrollo Étnico (Peru),,"Breña, Lima",Centro de Desarrollo Étnico,,,,,,,,1. ed.,monographic,,Spanish,text,print,146 p. : ill. (some col.) ; 24 cm. + 1 CD-ROM (4 3/4 in.),bibliography,,Blacks|||Race discrimination|||Human rights|||Civil rights|||Race relations,,Peru,,,,,,2008465412,,
9957509743406236,Uneven encounters: making race and nation in Brazil and the United States,,,,"Seigel, Micol, 1968-",,,Durham,Duke University Press,,,,,,,,,monographic,,English,text,print,"xxii, 386 p. : ill. ; 24 cm.",bibliography,,Racism|||History|||Nationalism|||Race relations,20th century,United States|||Brazil,,,,9780822344261 (cloth : alk. paper)|||0822344262 (cloth : alk. paper)|||9780822344407 (pbk. : alk. paper)|||0822344408 (pbk. : alk. paper),,2008041804,,
9957517833406236,"idea de América Latina: la herida colonial y la opción decolonial, La",Idea of Latin America. Spanish,Herida colonial y la opción decolonial,,"Mignolo, Walter.",,,Barcelona (España),Gedisa Editorial,,,,,,,,1a. ed.,monographic,,Spanish|||English,text,print,241 p. : ill. ; 23 cm.,bibliography,,Name|||History|||Philosophy|||Civilization|||European influences|||Race relations|||Colonization,,Latin America,,,,8497840941 (pbk.)|||9788497840941 (pbk.),,,,
9957526953406236,Libro de bautismos de esclavos (1636-1670),,,,"Sáez, José Luis, 1937-",,,Santo Domingo,Archivo General de la Nación,,,,,,,,,monographic,,Spanish,text,print,229 p. ; 23 cm.,Genealogy|||bibliography|||government publication,,Baptismal records|||Slaves|||History,,Santo Domingo|||Dominican Republic|||Santo Domingo (Dominican Republic),,,,9789945020496|||9945020498,,,,
9957551033406236,"White face, black mask: Africaneity and the early social history of popular music in Brazil",,,,"Davis, Darién J., 1964-",,,East Lansing,Michigan State University Press,,,,2008,,,,,monographic,,English,text,print,"xxx, 265 p., [8] p. of plates : ill. ; 23 cm.",bibliography|||biography|||government publication,,Popular music|||African influences|||Ethnicity|||History|||Social life and customs|||Race relations,20th century,Brazil|||Africa,,,,9780870138348 (pbk. : alk. paper)|||0870138340 (pbk. : alk. paper),,2008015193,,
9957567283406236,Personalidades afro-brasileiras e indígenas,,,,"Uehara, Helena Mitsuko.","Andrade, Vera.",,São Paulo,Idéia Escrita,,,,,,,,,monographic,,Portuguese,text,print,119 p. : ill. ; 23 cm.,bibliography|||biography,,Blacks|||Indians of South America|||Slavery|||History,,Brazil,,,,9788560671069 (pbk.)|||8560671064 (pbk.),,,,
9957593023406236,"doctor Ramón Emeterio Betances y la abolición de la esclavitud, El",,,,"Suárez Díaz, Ada.","Betances, Ramón Emeterio, 1827-1898",,San Juan de Puerto Rico,Instituto de Cultura Puertorriqueña,,,,,,,,3 ed. rev.,monographic,,Spanish,text,print,149 p. : facsims. ; 20 cm.,bibliography,,"Slavery|||Betances, Ramón Emeterio 1827-1898",,Puerto Rico,,,,0865816042|||9780865816046,,,,
9957604993406236,¡Negras somos!: antología de 21 mujeres poetas afrocolombianas de la región pacífica,,,,,"Cuesta Escobar, Guiomar, 1950-|||Ocampo Zamorano, Alfredo.",,Cali,Programa Editorial Universidad del Valle,,,,,,,,1a. ed.,monographic,,Spanish,text,print,223 p. ; 24 cm.,bibliography,,"Colombian poetry|||Women authors|||Black authors|||Women authors, Black|||Colombia poetryWomen authorsBlack authors",,Colombia,,,,9789586706797|||9586706796|||9586706797,,,,
9957605793406236,"Identidades, etnicidad y racismo en América Latina",,,,,"Congreso Latinoamericano y Caribeño de Ciencias Sociales (2007 : Quito, Ecuador)|||García S., Fernando (García Serrano)|||FLACSO (Organization)",,Quito,FLACSO Ecuador|||Ministerio de Cultura,,,,,,,,1a. ed.,monographic,,Spanish|||Portuguese,text,print,"326 p. : ill., maps ; 21 cm.",Congresses|||bibliography|||conference publication|||government publication,,Indians|||Politics and government|||Government relations|||Ethnic identity|||Ethnicity|||Racism|||Multiculturalism|||Ethnic relations|||Race relations,,Latin America,,,,9789978671870|||9978671870,,,,
9957635893406236,"Escravos e senhores de Bragança: documentos históricos do século XIX, região Bragantina, Pará",,,,,"Castro, Edna Maria Ramos de.|||Matos, Maria Oneide da Silva.|||Soares, Eliane Cristina Lopes.|||Universidade Federal do Pará, Núcleo de Altos Estudos Amazônicos.",,"Belém, Pará",Núcleo de Altos Estudos Amazônicos|||Editora Universitaria EDUFPA,,,,,,,,,monographic,,Portuguese,text,print,226 p. ; 22 cm.,Sources|||bibliography,,Slavery|||History|||Blacks,19th century,"Bragança (Pará)|||Bragança (Pará, Brazil)|||Brazil",,,,8524702591|||9788524702594,,,,
9957636103406236,"Preconceito racial: modos, temas e tempos",,,,"Guimarães, Antônio Sérgio A. (Antônio Sérgio Alfredo)",,,"São Paulo, SP",Cortez Editora,,,,2008,,,,,monographic,,Portuguese,text,print,144 p. ; 21 cm.,,,Racism|||Equality|||Preconceito racial|||Desigualdades sociais|||Discriminação racial|||Racismo|||Race relations,,Brazil|||Brasil,,,,9788524913556|||852491355X,,,,
9957707753406236,"história do negro no Brasil, Uma",,,,"Albuquerque, Wlamyra Ribeiro de.","Fraga Filho, Walter, 1963-|||Universidade Federal da Bahia, Centro de Estudos Afro-Orientais.|||Fundação Cultural Palmares (Brazil)",,"Salvador, Brazil]|||Brasília, Brazil]",Centro de Estudos Afro-Orientais|||Fundação Cultural Palmares,,,,,,,,,monographic,,Portuguese,text,print,"318 p. : ill., maps ; 25 cm.",bibliography|||government publication,,Blacks|||History|||Slaves|||Slavery|||Social conditions,,Brazil,,,,8588070022|||9788588070028,,2007315691,,
9957707773406236,Culturas negras no Atlântico,,,,,"Lage, Jluiana.|||Pantoja, Selma.",,Brasília,Universidade do Brasília,,,,,,,,,monographic,,Portuguese,text,print,191 p. : ill. ; 23 cm.,bibliography,,"Criticism and interpretation|||Blacks|||Social life and customs|||Barreto, Lima 1881-1922",,Angola|||Brazil|||Atlantic Coast,,,,9788523009,,,,
9957713453406236,Vestimenta ritual tradicional de la Santería cubana,,,,"Molinet, María Elena.",,,"Ciudad de La Habana, Cuba",Centro de Investigación y Desarrollo de la Cultura Cubana Juan Marinello,,,,2007,,,,,monographic,,Spanish,text,print,131 p. : ill. (some col.) ; 30 cm.,bibliography,,Santeria|||Customs and practices|||Yoruba (African people)|||Clothing|||Rites and ceremonies|||Clothing and dress,,Cuba,,,,9789592421219|||9592421218|||9592421219,,2009403996,,
9957713943406236,Cuba: personalidades en el debate racial : conferencias y ensayos,,Cuba racial,,"Fernández Robaina, Tomás, 1941-",,,Habana,Editorial de Ciencias Sociales,,,,,,,,,monographic,,Spanish,text,print,202 p. ; 21 cm.,bibliography,,Blacks|||Santeria|||Race relations,,Cuba,,,,9789590609244|||9590609244,,,,
9957717293406236,Escribir la identidad: creación cultural y negritud en el Perú,,,,,"Ngom, Mbaré.",,Lima,"Universidad Ricardo Palma, Editorial Universitaria",,,,,,,,1a. ed.,monographic,,Spanish,text,print,381 p. : ill. ; 21 cm.,bibliography,"""Por primera vez se ofrece un conjunto orgánico de aproximación multidisciplinaria sobre la literatura escrita por peruanos de ascendencia africana. Se incluyen 14 aproximaciones de diversos autores y géneros de esta tradición literaria, así como manifestaciones de carácter musical y cultural.""","Authors, Black|||Criticism and interpretation|||Peruvian literature|||History and criticism",20th century,Peru,,,,9789972236587|||9972236587,,,,
9957719743406236,"estigma del color: saberes y prejuicios sobre las razas en la ciencia hispano cubana del siglo XIX, El",,,,"García González, Armando.",,,Santa Cruz de Tenerife,Ediciones Idea,,,,,,,,1. ed. en Ediciones Idea,monographic,,Spanish,text,print,2 v. : ill. ; 20 cm.,bibliography,,Race discrimination|||History|||Science|||Social aspects|||Race relations,19th century,Cuba,,,,9788483825310 (set)|||8483825317 (set)|||9788483825327 (tomo 1)|||8483825325 (tomo 1)|||9788483825471 (tomo 2)|||8483825473 (tomo 2),,,,
9957719783406236,"cuestión tabú: el pensamiento negro cubano de 1840 a 1959, La",,,,,"Poumier, Maria, 1950-",,Santa Cruz de Tenerife,Ediciones Idea,,,,,,,,1a. ed. in Ediciones Idea.,monographic,,Spanish,text,print,413 p. ; 20 cm.,Sources|||bibliography,,Blacks|||History,,Cuba,,,,9788483821138|||8483821133,,,,
9957721903406236,I've been black in two countries: black Cuban views on race in the US,,,,"Hay, Michelle A., 1960-",,,El Paso,LFB Scholarly Pub.,,,,,,,,,monographic,,English,text,print,"ix, 247 p. ; 23 cm.",bibliography,,Cubans|||Blacks|||Racism|||African Americans|||Relations with Cubans|||Race relations,,United States|||Cuba,,,,9781593323356 (alk. paper)|||1593323352 (alk. paper),,2008052591,,
9957753543406236,"Hoodoo, voodoo, and conjure: a handbook",,,,"Anderson, Jeffrey E., 1974-",,,"Westport, Conn",Greenwood Press,,,,,,,,,monographic,,English,text,print,"xii, 183 p. : ill. ; 25 cm.","Handbooks, manuals, etc|||bibliography",,Hoodoo (Cult)|||Magic|||Vodou,,United States,,,,9780313342219 (alk. paper)|||0313342210 (alk. paper),,2008020832,,
9957754073406236,Tell my horse: voodoo and life in Haiti and Jamaica,,Voodoo and life in Haiti and Jamaica,,"Hurston, Zora Neale.","Gates, Henry Louis, Jr",,New York,Harper Perennial,,,,,,,,1st Harper Perennial Modern Classics ed.,monographic,,English,text,print,"viii, 311, 16 p. : ill., ports. ; 21 cm.",bibliography,,Vodou|||Description and travel,,Jamaica|||Haiti,,,,9780061695131|||0061695130,,,,
9957762063406236,"Africanos y afrodescendientes en el Río de la Plata, siglos XVIII-XIX",,,,"Rosal, Miguel.",,,Buenos Aires,Editorial Dunken,,,,,,,,,monographic,,Spanish,text,print,270 p. : ill. ; 23 cm.,bibliography,,Blacks|||Economic conditions|||Religion|||History,18th century|||19th century,Argentina|||Rio de la Plata Region (Argentina and Uruguay),,,,9789870237440|||9870237444,,2009400257,,http://pitt.idm.oclc.org/login?url=http://core.cambeiro.com.ar/0-154523-0.pdf
9957763613406236,Imperial subjects: race and identity in colonial Latin America,,,,,"Fisher, Andrew B., 1970-|||O'Hara, Matthew D. (Matthew David), 1970-",,"Durham, N.C",Duke University Press,,,,,,,,,monographic,,English,text,print,"xiv, 303 p. ; 25 cm.",Historia|||bibliography,,Identity (Psychology)|||History|||Latin Americans|||Ethnic identity|||Identidad cultural,To 1830,Latin America|||América española,,,,9780822344018 (cloth : alk. paper)|||0822344017 (cloth : alk. paper)|||9780822344209 (pbk. : alk. paper)|||0822344203 (pbk. : alk. paper),,2008051101,,
9957771563406236,"café para la microhistoria: estructura de posesión de esclavos y ciclo de vida en la llanura habanera, 1800-1886, Un",,,,"Meriño Fuentes, María de los Ángeles, 1966-","Perera Díaz, Aisnara, 1967-",,La Habana,Editorial de Ciencias Sociales,,,,,,,,,monographic,,Spanish,text,print,"xx, 203 p. : ill. ; 21 cm.",bibliography|||biography,,Slaves|||Social conditions|||Plantation life|||History|||Slavery|||Coffee industry,19th century,Havana (Province)|||Cuba,,,,9789590610943|||9590610943,,,,
9957774653406236,"Matrimonio y familia en el ingenio: una utopía posible, La Habana (1825-1886)",,,,"Meriño Fuentes, María de los Ángeles, 1966-","Perera Díaz, Aisnara, 1967-",,La Habana,Editorial Unicornio,,,,,,,,,monographic,,Spanish,text,print,"83, [38] p. : ill., map ; 19 cm.",bibliography,,Slaves|||Social conditions|||Family relationships|||History|||Sugar plantations,19th century,Cuba,,,,9789592182196|||9592182191,,,,
9957775143406236,Desafíos de la problemática racial en Cuba,,,,"Morales Domínguez, Esteban.",,,Ciudad de La Habana,Fundación Fernando Ortiz,,,,2007,,,,,monographic,,Spanish,text,print,385 p. : ill. ; 18 cm.,bibliography,,Blacks|||Racism|||Race discrimination|||Race relations,,Cuba,,,,9789597091622|||9597091623,,2009423857,,
9957798173406236,Legalizing identities: becoming Black or Indian in Brazil's northeast,,,,"French, Jan Hoffman, 1953-",,,Chapel Hill,University of North Carolina Press,,,,2009,,,,,monographic,,English,text,print,"xxiv, 247 p. : ill., map ; 25 cm.",bibliography,,"Ethnicity|||Ethnology|||Group identity|||Blacks|||Legal status, laws, etc|||Shocó Indians|||Ethnic identity|||Land tenure|||Social conditions",,Sergipe|||Sergipe (Brazil)|||Brazil,,,,9780807832929 (cloth : alk. paper)|||0807832928 (cloth : alk. paper)|||9780807859513 (pbk. : alk. paper)|||0807859516 (pbk. : alk. paper),,2008050472,,
9957807013406236,Relatório anual das desigualdades raciais no Brasil,,,,,,,Rio de Janeiro,"Editora Garamond|||LAESER|||UFRJ, Instituto de Economia",,2008,9999,2008/9999,,,,,serial,Annual,Portuguese,text,print,"v. : col. ill., col. maps ; 28 cm.",Periodicals,,Race discrimination|||Racism|||Race relations,,Brazil,,,,,1982-5315,2009224004,,
9957807903406236,"OIT frente a la situación de los afrodescendientes, La",,,,"Castro Fox, Marcelo A.","Jornadas Lascasianas Internacionales (15th : 2005 : Mexico City, Mexico and Puebla, Mexico)",,Guatemala,"Universid Rafael Landívar, Instituto de Investigaciones Jurídicas",,,,,,,,,monographic,,Spanish,text,print,"x, 7 p. ; 19 cm.",bibliography,,Blacks|||Social conditions|||Employment|||Discrimination in employment|||International Labour Organisation.,,Latin America,,,,9992291524|||9789992291528,,,,
9957811563406236,Da porteira para fora: mundo de preto em terra de branco,,,,"Póvoas, Ruy do Carmo, 1943-",,,Ilhéus,Editus,,,,,,,,,monographic,,Portuguese,text,print,482 p. ; 22 cm.,bibliography,,Candomblé (Religion)|||Afro-Brazilian cults|||Religious life and customs,,Bahia (Brazil : State)|||Brazil|||Bahia (State),,,,9788574551302|||8574551309,,,,
9957814993406236,Negro contra blanco: Luis D'Elía y el recurso del odio,,,,"Young, Gerardo, 1972-",,,Buenos Aires,Planeta,,,,,,,,1a. ed.,monographic,,Spanish,text,print,194 p. ; 23 cm.,biography,,"Social reformers|||Politicians|||Race relations|||D'Elía, Luis 1957-",,Argentina,,,,9504919944|||9789504919940,,2009400095,,
9957896353406236,Abolicionistas brasileiros e ingleses: a coligação entre Joaquim Nabuco e a British and Foreign Anti-slavery Society (1880-1902),,Coligação entre Joaquim Nabuco e a British and Foreign Anti-slavery Society (1880-1902),,"Rocha, Antonio Penalves.",,,São Paulo,Editora UNESP,,,,,,,,,monographic,,Portuguese,text,print,447 p. : ill. ; 23 cm.,bibliography,,"Antislavery movements|||Liberalism|||History|||Nabuco, Joaquim 1849-1910|||Anti-slavery and Aborigines Protection Society (Great Britain)",19th century,Brazil|||Great Britain,,,,9788571398931|||8571398933,,,,
9957896403406236,Eu sou atlântica: sobre a trajetória de vida de Beatriz Nascimento,,Sobre a trajetória de vida de Beatriz Nascimento,,"Ratts, Alex.","Nascimento, Maria Beatriz.",,São Paulo,Instituto Kuanza|||Impr. Oficial do Estado de São Paulo,,,,,,,,,monographic,,Portuguese,text,print,129 p. ; 23 cm.,bibliography|||government publication,,"Blacks|||Race identity|||Women authors, Black|||Women historians|||Race relations|||Nascimento, Maria Beatriz",,Brazil,,,,8570603592 (Impr. Oficial)|||9788570603593 (Impr. Oficial),,2008317266,,
9957901113406236,Haití: revolución y emancipación,,,,,"Cáceres Gómez, Rina.|||Lovejoy, Paul E.",,"San José, Costa Rica",Editorial UCR,,,,,,,,1a. ed.,monographic,,Spanish|||English,text,print,"xiii, 186 p. : map ; 24 cm.",bibliography,,Slavery|||History,"Revolution, 1791-1804|||19th century",Caribbean Area; Caribbean Sea|||Caribbean Area|||Haiti,,,,9789968460910|||9968460915,,,,
9957961413406236,"Legacies of race: identities, attitudes, and politics in Brazil",,,,"Bailey, Stanley R., 1963-",,,"Stanford, Calif",Stanford University Press,,,,2009,,,,,monographic,,English,text,print,294 p. ; 23 cm.,bibliography,,Ethnic attitudes|||Blacks|||Race identity|||Racially mixed people|||Race awareness|||Race|||Government policy|||Race relations|||Political aspects,,Brazil,,,,9780804762779 (cloth : alk. paper)|||0804762775 (cloth : alk. paper)|||9780804762786 (pbk : alk. paper)|||0804762783 (pbk : alk. paper),,2008042351,,
9958009043406236,Slaves to sweetness: British and Caribbean literatures of sugar,,,,"Plasa, Carl, 1959-",,,Liverpool,Liverpool University Press,,,,2009,,,,,monographic,,English,text,print,"viii, 184 p. ; 25 cm.",bibliography,,Caribbean literature (English)|||History and criticism|||English literature|||Sugar in literature|||Slavery in literature,,,,,,9781846311840|||1846311845,,,,
9958089353406236,Fiebre negra,,,,"Rosenzvit, Miguel, 1969-",,,"Buenos Aires, Argentina",Planeta,,,,,,,,1a. ed.,monographic,,Spanish,text,print,237 p. ; 21 cm.,Fiction,,Blacks|||History,19th century,Buenos Aires|||Buenos Aires (Argentina)|||Argentina,,,,9789504919278 (pbk.)|||9504919278 (pbk.),,2008469175,,
9958097683406236,"colores de las independencias iberoamericanas: liberalismo, etnia y raza, Los",,,,,"Chust Calero, Manuel.|||Frasquet, Ivana, 1975-",,Madrid,Consejo Superior de Investigaciones Científicas,,,,,,,,,monographic,,Spanish,text,print,"291 p. : ill., maps ; 24 cm.",bibliography,,Liberalism|||History|||Relations interethniques|||Social aspects|||Race relations|||Ethnic relations,"19th century|||Wars of Independence, 1806-1830|||1806-1830 (Guerres d'indépendance)",Amérique latine|||Latin America,,,,9788400087876|||8400087879,,2009430294,,
9958103743406236,"Imaginarios ambiguos, realidades contradictorias: conductas y representaciones de los negros y mulatos novohispanos, siglos XVI y XVII",,,,"Camba Ludlow, Úrsula.",,,"México, D.F","El Colegio de México, Centro de Estudios Históricos",,,,,,,,1. ed.,monographic,,Spanish,text,print,227 p. : ill. ; 23 cm.,bibliography,,Blacks|||History|||Social conditions|||Race identity|||Racially mixed people|||Racism|||Race relations,16th century|||17th century,Mexico,,,,9681213742|||9789681213749,,2009423239,,
9958104043406236,Registros escravos: repertório das fontes oitocentistas pertencentes ao acervo da Biblioteca Nacional,,,,"Schwarcz, Lilia Moritz.","Garcia, Lúcia.|||Biblioteca Nacional (Brazil)",,"Rio de Janeiro, Brazil]","Ministério da Cultura, Fundação Biblioteca Nacional",,,,2006,,,,,monographic,,Portuguese,text,print,240 p. : ill. (some col.) ; 26 cm.,Registers|||Sources|||bibliography|||government publication,,Slave trade|||History|||Slavery|||Slaves|||Slave records|||Escravidão|||Fontes históricas|||História do brasil|||Período colonial (1500-1822),19th century,Brazil|||Brasil,,,,9788533303966|||8533303963,,2009344418,,
9958114013406236,"Black middle: Africans, Mayas, and Spaniards in colonial Yucatan, The",,,,"Restall, Matthew, 1964-",,,"Stanford, Calif",Stanford University Press,,,,2009,,,,,monographic,,English,text,print,"xviii, 433 p. : ill., maps ; 25 cm.",bibliography,,Africans|||History|||Blacks|||Race relations,"Spanish colony, 1540-1810",Mexico|||Yucatán Peninsula|||Yucatán,,,,9780804749831 (cloth : alk. paper)|||0804749833 (cloth : alk. paper),,2008036651,,
9958127013406236,"Desigualdades raciais e segregação urbana em antigas capitais: Salvador, cidade D'Oxum, Rio de Janeiro, cidade de Ogum",,,,"Garcia, Antonia dos Santos.",,,Rio de Janeiro,Garamond,,,,2009,,,,,monographic,,Portuguese,text,print,"543 p. : ill., maps ; 21 cm.",bibliography,,Race discrimination|||Blacks|||Social conditions|||Segregation|||Urban poor,,Salvador|||Brazil|||Rio de Janeiro,,,,8576171570|||9788576171577,,,,
