,assignee,link,genre_extended,genre_2_extended,level_of_confidence,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
15,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397731,serials (publications),newsletters​,3=high confidence,31735059397731,"drum: wildcat strike,",,1968,,university of pittsburgh,1.0,97.0,text,archival document
16,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544775,serials (publications),periodicals​,3=high confidence,31735061544775,"the international socialist review,",,1910-04,,university of pittsburgh,11.0,4.0,text,archival document
17,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913180,serials (publications),periodicals​,3=high confidence,31735067913180,mine mill union; union; mine-mill union; sindicato,,,1965-12,university of pittsburgh,,,text,periodical; periodicals.; periodicals
18,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658617,pamphlets​,,3=high confidence,31735061658617,"""world-wide unemployment"", 20,000,000 unemployed",,,,university of pittsburgh,3.0,67.0,text,archival document
19,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060481888,pamphlets​,,3=high confidence,31735060481888,women of yesterday and today,,,,university of pittsburgh,14.0,3.0,text,archival document
20,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655951,pamphlets​,,3=high confidence,31735061655951,"the position of negro women, by eugene gordon and cyril briggs,",,1935-02,,university of pittsburgh,1.0,65.0,text,archival document
21,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655698,​fliers,,3=high confidence,31735051655698,"may day,",,1938,,university of pittsburgh,13.0,59.0,text,archival document
22,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450691,leaflets (printed works),,3=high confidence,31735047450691,"""your vote decides"" pamphlet",,,,university of pittsburgh,37.0,71.0,text,archival document
23,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659276,pamphlets​,,3=high confidence,31735061659276,"""children under capitalism"", by grace hutchins,",,1933,,university of pittsburgh,4.0,8.0,text,archival document
24,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451459,correspondence,,3=high confidence,31735047451459,"next meeting labor committee for safe energy and full employment letters,",,1980/1981,,university of pittsburgh,,154.0,text,archival document
25,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659011,pamphlets​,,3=high confidence,31735061659011,"""in flanders field..."", by mac weiss,",,1935-05,,university of pittsburgh,3.0,137.0,text,archival document
26,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537746,pamphlets​,,3=high confidence,31735061537746,"""the red baiting racket and how it works"", by george morris,",,1947-10,,university of pittsburgh,4.0,69.0,text,archival document
27,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075282,serials (publications),newspaper​s,3=high confidence,31735070075282,"political action; political action (milwaukee, wis.)",,,1912-08-03,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
28,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659722,pamphlets​,,3=high confidence,31735061659722,"""smash hitler's spring offensive now!"", by william z. foster,",,1942-03,,university of pittsburgh,3.0,55.0,text,archival document
29,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655565,​fliers,,3=high confidence,31735051655565,coming! w.e.b. dubois,,,,university of pittsburgh,13.0,19.0,text,archival document
30,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060481912,​fliers,,3=high confidence,31735060481912,free billy smith,,,,university of pittsburgh,14.0,77.0,text,archival document
31,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482282,pamphlets​,,3=high confidence,31735060482282,"""five years of hitler""",,,,university of pittsburgh,14.0,40.0,text,archival document
32,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449180,pamphlets​,,3=high confidence,31735047449180,"""chug-chug: a children's story for the whole feamily"" ue booklet,",,1947-09,,university of pittsburgh,37.0,86.0,text,archival document
33,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539833,papers (documents),,1=slight confidence,31735061539833,"a statement to the president, the congress, and the people of the united states from the american congress for peace and democracy,",,1939,,university of pittsburgh,4.0,122.0,text,archival document
34,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539973,pamphlets​,,3=high confidence,31735061539973,"""haiti faces tomorrow's peace"", by max l. hudicourt",,,,university of pittsburgh,7.0,92.0,text,archival document
35,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658203,pamphlets​,,3=high confidence,31735061658203,"""william z. foster, an appreciation"", by joseph north,",,1955,,university of pittsburgh,3.0,116.0,text,archival document
36,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451483,papers (documents),,0=no confidence,31735047451483,"coalition of labor union women resolutions approved,",,,,university of pittsburgh,,157.0,text,archival document
37,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655425,​fliers,,2= moderate confidence,31735051655425,"""no more three mile islands u.s. out of el salvador"" flyer,",,1981,,university of pittsburgh,13.0,42.0,text,archival document
38,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659151,books,,3=high confidence,31735061659151,"""the path to peace, progress and prosperity""",,,,university of pittsburgh,4.0,18.0,text,archival document
39,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657148,pamphlets​,,3=high confidence,31735061657148,greet the new year with the l.a. committee for protection of foreign born,,,,university of pittsburgh,2.0,34.0,text,archival document
40,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539478,pamphlets​,,3=high confidence,31735061539478,"new aspects of imperialism (2), by peter wieden,",,1941-04,,university of pittsburgh,7.0,47.0,text,archival document
41,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543991,pamphlets​,,3=high confidence,31735061543991,"""realignment"", one year after the party convention",,,,university of pittsburgh,10.0,74.0,text,archival document
42,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068355142,serials (publications),periodicals​,3=high confidence,31735068355142,mine mill union; union; mine-mill union; sindicato,,,1963-03,university of pittsburgh,,,text,periodical; periodicals.; periodicals
43,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657916,pamphlets​,,3=high confidence,31735061657916,"""labor and anti- semitism"", by george morris,",,1953-05,,university of pittsburgh,3.0,15.0,text,archival document
44,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655811,pamphlets​,,3=high confidence,31735061655811,"justice for all humanity, colored america answers the challenge of pearl s. buck",,,,university of pittsburgh,1.0,30.0,text,archival document
45,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658757,pamphlets​,,3=high confidence,31735061658757,"""the fascist revival...the inside story of the john birch society...who is in it? who is behind it? who directs and finances it?"", by mike newberry,",,1961-06,,university of pittsburgh,3.0,98.0,text,archival document
46,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051654980,serials (publications),newsletters​,3=high confidence,31735051654980,"lc news letter vol. 2, no. 4,",,1940-04,,university of pittsburgh,14.0,17.0,text,archival document
47,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075258,serials (publications),newspaper​s,3=high confidence,31735070075258,"political action; political action (milwaukee, wis.)",,,1912-07-13,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
48,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228846,pamphlets​,,3=high confidence,31735066228846,"""how to research your own hometown"", by robert k. lamb",,,,university of pittsburgh,7.0,117.0,text,archival document
49,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482860,​fliers,,3=high confidence,31735060482860,"washington d.c. protest flyer,",,1969-11-13/1969-11-15,,university of pittsburgh,14.0,94.0,text,archival document
50,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544635,petitons,,3=high confidence,31735061544635,"""for a turn toward peace"" petition/flyer,",,1962,,university of pittsburgh,11.0,152.0,text,archival document
51,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544452,pamphlets​,,3=high confidence,31735061544452,"""a plan for america"", official campaign handbook of the socialist party,",,1932,,university of pittsburgh,10.0,119.0,text,archival document
52,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482605,papers (documents),,3=high confidence,31735060482605,"""resolutions from the american negro leadership conference on africa"",",,1964-09-24/1964-09-27,,university of pittsburgh,1.0,19.0,text,archival document
53,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068354921,serials (publications),periodicals​,3=high confidence,31735068354921,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1952-02-11,university of pittsburgh,,,text,periodical; periodicals.; periodicals
54,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228622,pamphlets​,,3=high confidence,31735066228622,"""think or surrender"", by george r. kirkpatrick",,,,university of pittsburgh,10.0,69.0,text,archival document
55,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451145,pamphlets​,,3=high confidence,31735047451145,"""an important message to all westinghouse women workers"" pamphlet,",,,,university of pittsburgh,,118.0,text,archival document
56,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227863,pamphlets​,,3=high confidence,31735066227863,"military ""glory"" in the colleges, by paul blanshard,",,1925-02-18,,university of pittsburgh,1.0,172.0,text,archival document
57,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911333,serials (publications),periodicals​,3=high confidence,31735067911333,"union; mine-mill union; sindicato; union (denver, colo. : 1942)",,,1951-04-09,university of pittsburgh,,,text,periodical; periodicals.; periodicals
58,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058193925,serials (publications),,3=high confidence,31735058193925,"alternative, v2. n3,",,1949-11,,university of pittsburgh,1.0,128.0,text,archival document
59,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655078,serials (publications),periodicals​,3=high confidence,31735051655078,"mother earth, vol. xi no. 4,",,1916-07,,university of pittsburgh,13.0,31.0,text,archival document
60,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194121,serials (publications),newsletters​,3=high confidence,31735058194121,"sister: new haven women's liberation newsletter v.1, n.7",,1971,,university of pittsburgh,6.0,23.0,text,archival document
61,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540930,"leaflets (printed works)​, serials (publications)",,3=high confidence,31735061540930,"""marxism and culture no. i"", a brief bibliography of marxism and the arts, edited by louis harp",,,,university of pittsburgh,10.0,10.0,text,archival document
62,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655589,​fliers,,2= moderate confidence,31735061655589,"""parade and demonstrate"" flyer",,,,university of pittsburgh,13.0,3.0,text,archival document
63,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544361,leaflets (printed works),,3=high confidence,31735061544361,"""whoever you are...wherever you live"" flyer",,,,university of pittsburgh,11.0,181.0,text,archival document
64,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482969,pamphlets​,,3=high confidence,31735060482969,"the negro people in the struggle for peace and freedom, by benjamin j. davis,",,1951-02,,university of pittsburgh,1.0,7.0,text,archival document
65,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544106,correspondence,,3=high confidence,31735061544106,a socialist labor party envelope and ticket,,,,university of pittsburgh,10.0,45.0,text,archival document
66,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070057207,serials (publications),newspaper​s,3=high confidence,31735070057207,"political action; political action (milwaukee, wis.)",,,1911-10-07,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
67,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656421,pamphlets​,,3=high confidence,31735061656421,"""the cruise missile"", by dan smith,",,1977,,university of pittsburgh,1.0,158.0,text,archival document
68,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051656134,​fliers,,2= moderate confidence,31735051656134,"...and now laos,",,1970,,university of pittsburgh,14.0,90.0,text,archival document
69,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658013,correspondence,,2= moderate confidence,31735061658013,"""an open letter to j. howard mcgrath"", attorney general of the united states,",,1951,,university of pittsburgh,2.0,99.0,text,archival document
70,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065150975,serials (publications),periodicals​,3=high confidence,31735065150975,mine mill union; union; mine-mill union; sindicato,,,1954-10-11,university of pittsburgh,,,text,periodical; periodicals.; periodicals
71,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066205273,memorabilia,,1=slight confidence,31735066205273,various loose memorabilia,,,,university of pittsburgh,12.0,70.0,text,archival document
72,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537324,photographs​,,3=high confidence,31735061537324,"a female communist demonstrator,",,1930-03-04,,university of pittsburgh,4.0,139.0,still image,archival document
73,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659615,broadside​s (notices),,3=high confidence,31735061659615,"""support the people's cause...""",,,,university of pittsburgh,3.0,4.0,text,archival document
74,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194238,correspondence,,1=slight confidence,31735058194238,"an open letter to president kennedy,",,1961-11-16,,university of pittsburgh,8.0,3.0,text,archival document
75,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068355134,serials (publications),periodicals​,3=high confidence,31735068355134,mine mill union; union; mine-mill union; sindicato,,,1963-04/05,university of pittsburgh,,,text,periodical; periodicals.; periodicals
76,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539668,pamphlets​,,3=high confidence,31735061539668,"the communists and the liberation of europe, by maxine levi,",,1945-03,,university of pittsburgh,7.0,33.0,text,archival document
77,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537886,pamphlets​,,3=high confidence,31735061537886,"little brothers of the big labor fakers, by william z. foster",,,,university of pittsburgh,6.0,43.0,text,archival document
78,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543710,pamphlets​,,3=high confidence,31735061543710,"""value, price and profit"", by karl marx",,,,university of pittsburgh,10.0,83.0,text,archival document
79,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537670,photographs​,,3=high confidence,31735061537670,"a scene in phoenix when naff was leader of movement,",,1936-04-25,,university of pittsburgh,4.0,164.0,still image,archival document
80,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659979,pamphlets​,,3=high confidence,31735061659979,"""how can we share the wealth?"", the communist way versus huey long, by alex bittelman,",,1935-04,,university of pittsburgh,3.0,13.0,text,archival document
81,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543975,pamphlets​,,3=high confidence,31735061543975,"""your vote can stop the war in korea now!"" pamphlet",,,,university of pittsburgh,14.0,49.0,text,archival document
82,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060483074,pamphlets​,,3=high confidence,31735060483074,the truth about columbia tennessee cases,,,,university of pittsburgh,1.0,3.0,text,archival document
83,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544643,​fliers,,3=high confidence,31735061544643,"""problems of peace"" flyer",,,,university of pittsburgh,11.0,172.0,text,archival document
84,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075415,serials (publications),newspaper​s,3=high confidence,31735070075415,"political action; political action (milwaukee, wis.)",,,1912-11-02,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
85,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194402,pamphlets​,,3=high confidence,31735058194402,"""we propose this program of peace and abundance for the people of north carolina"" pamphlet,",,1948,,university of pittsburgh,10.0,20.0,text,archival document
86,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228432,pamphlets​,,3=high confidence,31735066228432,"why we defend the soviet union, by albert goldman",,,,university of pittsburgh,11.0,109.0,text,archival document
87,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051654964,serials (publications),newsletters​,3=high confidence,31735051654964,"people against rizzo newsletter,",,1971,,university of pittsburgh,14.0,34.0,text,archival document
88,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227814,pamphlets​,,3=high confidence,31735066227814,"on the struggle for peace and freedom, by benjamin j. davis, jr.",,,,university of pittsburgh,1.0,81.0,text,archival document
89,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449024,serials (publications),newsletters​,3=high confidence,31735047449024,"tipple talk: a newsletter of the coal miners research association,",,1980-12,,university of pittsburgh,37.0,59.0,text,archival document
90,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451467,leaflets (printed works),,2= moderate confidence,31735047451467,"march on harrisburg flyer,",,,,university of pittsburgh,,155.0,text,archival document
91,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537779,pamphlets​,,3=high confidence,31735061537779,"""pattern for american fascism"", by john l. spivak,",,1947-09,,university of pittsburgh,4.0,66.0,text,archival document
92,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070072628,serials (publications),newspaper​s,3=high confidence,31735070072628,"political action; political action (milwaukee, wis.)",,,1911-07-22,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
93,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655268,pamphlets​,,3=high confidence,31735051655268,"""the program of class struggle co-operation"" pamphlet,",,1931,,university of pittsburgh,13.0,60.0,text,archival document
94,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450261,leaflets (printed works),,3=high confidence,31735047450261,"""what's a mugwump?"" flyer",,,,university of pittsburgh,37.0,9.0,text,archival document
95,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659870,pamphlets​,,3=high confidence,31735061659870,"""peace or war, the people against the warmakers!"", by eugene dennis,",,1946-05,,university of pittsburgh,3.0,36.0,text,archival document
96,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544171,pamphlets​,,3=high confidence,31735061544171,"""from reform to bayonets"", by arnold petersen,",,1947-05,,university of pittsburgh,10.0,50.0,text,archival document
97,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544031,pamphlets​,,3=high confidence,31735061544031,"""sit-down"", by joel seidman, and ""a g.m. stockholder visits flint"", by robert morss lovett,",,1937-03,,university of pittsburgh,10.0,73.0,text,archival document
98,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228879,pamphlets​,,3=high confidence,31735066228879,"""le front populaire c'est la guerre"",",,1937-06,,university of pittsburgh,7.0,69.0,text,archival document
99,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070057330,serials (publications),newspaper​s,3=high confidence,31735070057330,"political action; political action (milwaukee, wis.)",,,1911-12-30,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
100,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075266,serials (publications),newspaper​s,3=high confidence,31735070075266,"political action; political action (milwaukee, wis.)",,,1912-07-20,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
101,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151056,serials (publications),periodicals​,3=high confidence,31735065151056,mine mill union; union; mine-mill union; sindicato,,,1954-11-22,university of pittsburgh,,,text,periodical; periodicals.; periodicals
102,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655581,correspondence,,3=high confidence,31735051655581,"women for peace letter,",,1972-04-21,,university of pittsburgh,14.0,84.0,text,archival document
103,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540807,pamphlets​,,3=high confidence,31735061540807,"""synthesis is our only possibility"", by bob dickens",,,,university of pittsburgh,8.0,54.0,text,archival document
104,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482001,correspondence,,3=high confidence,31735060482001,appeal to reason promotional letter,,,,university of pittsburgh,14.0,56.0,text,archival document
105,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537639,photographs​,,3=high confidence,31735061537639,"a ""comrade"" during the arizona disorders,",,1936-04-18,,university of pittsburgh,4.0,163.0,still image,archival document
106,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227954,pamphlets​,,3=high confidence,31735066227954,"red tape and barbed wire, by sender garlin,",,1952,,university of pittsburgh,2.0,28.0,text,archival document
107,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482555,photographs​,,3=high confidence,31735060482555,anti-war protestor,,,,university of pittsburgh,12.0,45.0,text,archival document
108,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228572,pamphlets​,,3=high confidence,31735066228572,"are there classes in america?, by ralph korkngold",,,,university of pittsburgh,10.0,99.0,text,archival document
109,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913164,serials (publications),periodicals​,3=high confidence,31735067913164,mine mill union; union; mine-mill union; sindicato,,,1965-10,university of pittsburgh,,,text,periodical; periodicals.; periodicals
110,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543835,pamphlets​,,3=high confidence,31735061543835,"""wages in mexican money"", by mary e. marcy",,,,university of pittsburgh,10.0,80.0,text,archival document
111,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659292,pamphlets​,,3=high confidence,31735061659292,"""the menace of a new world war"", by william z. foster,",,1946-03,,university of pittsburgh,3.0,144.0,text,archival document
112,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450675,pamphlets​,,3=high confidence,31735047450675,"""vets can't eat medals"" ue program of veterans",,,,university of pittsburgh,37.0,69.0,text,archival document
113,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066249172,serials (publications),periodicals​,3=high confidence,31735066249172,"new theatre,",,1936-11,,university of pittsburgh,33.0,2.0,text,archival document
114,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659839,pamphlets​,,3=high confidence,31735061659839,"""the year of great decision, 1942"", by robert minor,",,1942-05,,university of pittsburgh,3.0,37.0,text,archival document
115,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065150397,serials (publications),periodicals​,3=high confidence,31735065150397,mine mill union; union; mine-mill union; sindicato,,,1954-02-15,university of pittsburgh,,,text,periodical; periodicals.; periodicals
116,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656678,pamphlets​,,3=high confidence,31735061656678,"""everything for unity and victory"", by william schneiderman",,,,university of pittsburgh,4.0,119.0,text,archival document
117,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538348,​fliers,,3=high confidence,31735061538348,"""women of new york, wpa cuts threaten your standard of living"" flyer",,,,university of pittsburgh,6.0,2.0,text,archival document
118,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540336,pamphlets​,,3=high confidence,31735061540336,"""stock ownership and the control of corporations"", by don villarejo",,,,university of pittsburgh,7.0,104.0,text,archival document
