assignee,link,identifier,title,date_created,date_issued,type_of_resource,genre,genre 2,level_of_confidence,note,, 
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543843,31735061543843,"""Capitalism, Socialism, Communism?- A Debate""",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735059397731,31735059397731,"Drum: Wildcat Strike,",1968,,text,serials (publications),newsletters​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544775,31735061544775,"The International Socialist Review,",3744,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913180,31735067913180,Mine-Mill union; Mine Mill union; Sindicato; Union,,24077,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658617,31735061658617,"""World-Wide Unemployment"", 20,000,000 Unemployed",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060481888,31735060481888,Women of Yesterday and Today,,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655951,31735061655951,"The Position of Negro Women, by Eugene Gordon and Cyril Briggs,",12816,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655698,31735051655698,"May Day,",1938,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450691,31735047450691,"""Your Vote Decides"" Pamphlet",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659276,31735061659276,"""Children Under Capitalism"", By Grace Hutchins,",1933,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451459,31735047451459,"Next Meeting Labor Committee for Safe Energy and Full Employment Letters,",1980/1981,,text,correspondence,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659011,31735061659011,"""In Flanders Field..."", By Mac Weiss,",12905,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537746,31735061537746,"""The Red Baiting Racket and How it Works"", By George Morris,",17441,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075282,31735070075282,"Political action; Political action (Milwaukee, Wis.)",,4599,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659722,31735061659722,"""Smash Hitler's Spring Offensive Now!"", By William Z. Foster,",15401,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655565,31735051655565,Coming! W.E.B. DuBois,,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060481912,31735060481912,Free Billy Smith,,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482282,31735060482282,"""Five Years of Hitler""",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449180,31735047449180,"""Chug-Chug: A Children's Story for the Whole Feamily"" UE Booklet,",17411,,text,pamphlets​,,3=high confidence,"""pamphlet"" and ""booklet"" used interchangeably",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539833,31735061539833,"A Statement to the President, the Congress, and the People of the United States from the American Congress for Peace and Democracy,",1939,,text,papers (documents),,1=slight confidence,statements,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539973,31735061539973,"""Haiti Faces Tomorrow's Peace"", By Max L. Hudicourt",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658203,31735061658203,"""William Z. Foster, An Appreciation"", By Joseph North,",1955,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451483,31735047451483,"Coalition of Labor Union Women Resolutions Approved,",,,text,papers (documents),,0=no confidence,"Conference, approved and defeated resolutions",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655425,31735051655425,"""No More Three Mile Islands U.S. Out of El Salvador"" Flyer,",1981,,text,​fliers,,2= moderate confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659151,31735061659151,"""The Path to Peace, Progress and Prosperity""",,,text,books,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657148,31735061657148,Greet the New Year with the L.A. Committee for Protection of Foreign Born,,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539478,31735061539478,"New Aspects of Imperialism (2), By Peter Wieden,",15067,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543991,31735061543991,"""Realignment"", One Year After the Party Convention",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068355142,31735068355142,Mine-Mill union; Mine Mill union; Sindicato; Union,,23071,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061657916,31735061657916,"""Labor and Anti- Semitism"", By George Morris,",19480,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655811,31735061655811,"Justice For All Humanity, Colored America Answers the Challenge of Pearl S. Buck",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658757,31735061658757,"""The Fascist Revival...the Inside Story of the John Birch Society...Who is in it? Who is Behind it? Who Directs and Finances it?"", By Mike Newberry,",22433,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051654980,31735051654980,"LC News Letter Vol. 2, No. 4,",14702,,text,serials (publications),newsletters​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075258,31735070075258,"Political action; Political action (Milwaukee, Wis.)",,4578,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228846,31735066228846,"""How to Research Your Own Hometown"", By Robert K. Lamb",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482860,31735060482860,"Washington D.C. Protest Flyer,",1969-11-13/1969-11-15,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544635,31735061544635,"""For a Turn Toward Peace"" Petition/Flyer,",1962,,text,petitons,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544452,31735061544452,"""A Plan for America"", Official Campaign Handbook of the Socialist Party,",1932,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482605,31735060482605,"""Resolutions from the American Negro Leadership Conference on Africa"",",1964-09-24/1964-09-27,,text,papers (documents),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068354921,31735068354921,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,19035,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228622,31735066228622,"""Think or Surrender"", By George R. Kirkpatrick",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451145,31735047451145,"""An Important Message to All Westinghouse Women Workers"" Pamphlet,",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227863,31735066227863,"Military ""Glory"" in the Colleges, by Paul Blanshard,",9181,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067911333,31735067911333,"Union; Sindicato; Mine-mill union; Union (Denver, Colo. : 1942)",,18727,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058193925,31735058193925,"Alternative, V2. N3,",18203,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655078,31735051655078,"Mother Earth, Vol. XI No. 4,",6027,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194121,31735058194121,"Sister: New Haven Women's Liberation Newsletter V.1, N.7",1971,,text,serials (publications),newsletters​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540930,31735061540930,"""Marxism and Culture No. I"", A Brief Bibliography of Marxism and the Arts, Edited by Louis Harp",,,text,"leaflets (printed works)​, serials (publications)",,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061655589,31735061655589,"""Parade and Demonstrate"" Flyer",,,text,​fliers,,2= moderate confidence,could be a broadside,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544361,31735061544361,"""Whoever You Are...Wherever You Live"" Flyer",,,text,leaflets (printed works),,3=high confidence,printed for folding,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482969,31735060482969,"The Negro People in the struggle for Peace and Freedom, By Benjamin J. Davis,",18660,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544106,31735061544106,A Socialist Labor Party Envelope and Ticket,,,text,correspondence,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070057207,31735070057207,"Political action; Political action (Milwaukee, Wis.)",,4298,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656421,31735061656421,"""The Cruise Missile"", by Dan Smith,",1977,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051656134,31735051656134,"...and now Laos,",1970,,text,​fliers,,2= moderate confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658013,31735061658013,"""An Open Letter to J. Howard McGrath"", Attorney General of the United States,",1951,,text,correspondence,,2= moderate confidence,open letter,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065150975,31735065150975,Mine-Mill union; Mine Mill union; Sindicato; Union,,20008,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066205273,31735066205273,Various loose memorabilia,,,text,memorabilia,,1=slight confidence,uncertain of some media ,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537324,31735061537324,"A Female Communist Demonstrator,",11021,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659615,31735061659615,"""Support the People's Cause...""",,,text,broadside​s (notices),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194238,31735058194238,"An Open Letter to President Kennedy,",22601,,text,correspondence,,1=slight confidence,open letter,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735068355134,31735068355134,Mine-Mill union; Mine Mill union; Sindicato; Union,,1963-04/05,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061539668,31735061539668,"The Communists and the Liberation of Europe, By Maxine Levi,",16497,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537886,31735061537886,"Little Brothers of the Big Labor Fakers, By William Z. Foster",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543710,31735061543710,"""Value, Price and Profit"", By Karl Marx",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537670,31735061537670,"A Scene in Phoenix when Naff was Leader of Movement,",13265,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659979,31735061659979,"""How Can We Share the Wealth?"", The Communist Way Versus Huey Long, By Alex Bittelman,",12875,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543975,31735061543975,"""Your Vote Can Stop the War in Korea Now!"" Pamphlet",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060483074,31735060483074,The Truth About Columbia Tennessee Cases,,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544643,31735061544643,"""Problems of Peace"" Flyer",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075415,31735070075415,"Political action; Political action (Milwaukee, Wis.)",,4690,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194402,31735058194402,"""We Propose this Program of Peace and Abundance for the People of North Carolina"" Pamphlet,",1948,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228432,31735066228432,"Why We Defend the Soviet Union, by Albert Goldman",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051654964,31735051654964,"People Against Rizzo Newsletter,",1971,,text,serials (publications),newsletters​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227814,31735066227814,"On the Struggle for Peace and Freedom, by Benjamin J. Davis, Jr.",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047449024,31735047449024,"Tipple Talk: A Newsletter of the Coal Miners Research Association,",29556,,text,serials (publications),newsletters​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451467,31735047451467,"March on Harrisburg Flyer,",,,text,leaflets (printed works),,2= moderate confidence,printed on both sides,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537779,31735061537779,"""Pattern for American Fascism"", By John L. Spivak,",17411,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070072628,31735070072628,"Political action; Political action (Milwaukee, Wis.)",,4221,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655268,31735051655268,"""The Program of Class Struggle Co-operation"" Pamphlet,",1931,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450261,31735047450261,"""What's a Mugwump?"" Flyer",,,text,leaflets (printed works),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659870,31735061659870,"""Peace or War, The People against the Warmakers!"", By Eugene Dennis,",16923,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544171,31735061544171,"""From Reform to Bayonets"", By Arnold Petersen,",17288,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544031,31735061544031,"""Sit-Down"", By Joel Seidman, and ""A G.M. Stockholder Visits Flint"", By Robert Morss Lovett,",13575,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228879,31735066228879,"""Le Front Populaire C'est la Guerre"",",13667,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070057330,31735070057330,"Political action; Political action (Milwaukee, Wis.)",,4382,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075266,31735070075266,"Political action; Political action (Milwaukee, Wis.)",,4585,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151056,31735065151056,Mine-Mill union; Mine Mill union; Sindicato; Union,,20050,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735051655581,31735051655581,"Women for Peace Letter,",26410,,text,correspondence,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540807,31735061540807,"""Synthesis is our Only Possibility"", By Bob Dickens",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482001,31735060482001,Appeal to Reason Promotional Letter,,,text,correspondence,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537639,31735061537639,"A ""Comrade"" During the Arizona Disorders,",13258,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227954,31735066227954,"Red Tape and Barbed Wire, by Sender Garlin,",1952,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482555,31735060482555,Anti-War Protestor,,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228572,31735066228572,"Are There Classes in America?, by Ralph Korkngold",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735067913164,31735067913164,Mine-Mill union; Mine Mill union; Sindicato; Union,,24016,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543835,31735061543835,"""Wages in Mexican Money"", By Mary E. Marcy",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659292,31735061659292,"""The Menace of a New World War"", By William Z. Foster,",16862,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450675,31735047450675,"""Vets Can't Eat Medals"" UE Program of Veterans",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066249172,31735066249172,"New Theatre,",13455,,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659839,31735061659839,"""The Year of Great Decision, 1942"", By Robert Minor,",15462,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065150397,31735065150397,Mine-Mill union; Mine Mill union; Sindicato; Union,,19770,text,serials (publications),periodicals​,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656678,31735061656678,"""Everything for Unity and Victory"", By William Schneiderman",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538348,31735061538348,"""Women of New York, WPA Cuts Threaten Your Standard of Living"" Flyer",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061540336,31735061540336,"""Stock Ownership and the Control of Corporations"", By Don Villarejo",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066227731,31735066227731,"Negro History Week,",1951,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544791,31735061544791,SPU Program Statement,,,text,statements,,1=slight confidence,statements,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659201,31735061659201,"""Constitution of the Communist Political Association""",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061542498,31735061542498,"Rustin, McReynolds, and Barton Lecture Flyer,",22555,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735058194378,31735058194378,"The Kodak Worker, V.1, N. 8,",10472,,text,serials (publications),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659755,31735061659755,"""Intellectuals and the War"", By V.J. Jerome",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659532,31735061659532,"""Vote for John Makowski"", Communist Candidate for Council- Ward 21",,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075092,31735070075092,"Political action; Political action (Milwaukee, Wis.)",,4445,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658153,31735061658153,"""The Menace of Opportunism"", By Max Bedacht",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537704,31735061537704,"""Is Communism Un-American?"", 9 Questions About the Communist Party Answered, By Eugene Dennis,",17227,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543892,31735061543892,Flyer to Vote for Henry Steinberg,,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659235,31735061659235,"""Dust Off Your Dreams"", The Story of American Youth for Democracy",,,text,pamphlets​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047450824,31735047450824,"""He Had Enough! - Westinghouse IUE Leader Returns to UE"" Booklet",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""booklet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659052,31735061659052,"""Nazis Preferred"", The Renazification of Western Germany, By Moses Miller,",18415,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061537563,31735061537563,"Communist Rioters in Cleveland, Ohio,",11234,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228945,31735066228945,"Anti-Soviet Sabotage Exposed, By G.M. Krzhyzhanovsky",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
